Particle No.,Measured Volume (cm3),Measured Weight (g),Reconstructed Volume (cm3),Volume1 (cm3),Volume2 (cm3),Volume3 (cm3)
1,0,4037,1776.3,1765.5,1772.7,1790.7
2,0,3855.5,1655.3,1656.8,1644.7,1664.5
3,0,9207.9,3705.9,3653.8,3871.6,3592.1
4,0,3061.7,1434.6,1477.1,1454,1372.8
5,0,5511.1,2340.2,2185.9,2334,2500.6
6,0,5624.5,2502,2397.5,2545.6,2562.8
7,0,3855.5,1615.6,1559.8,1697.3,1589.6
8,0,3039.1,1264,1292.7,1265.5,1234
9,0,3742.1,1667.5,1665.1,1617.3,1720.1
10,0,2358.7,994.46,1025,975.08,983.23
11,0,3696.8,1310.3,1300.5,1340.2,1290.2
12,0,3810.2,1432.3,1397.5,1516.1,1383.3
13,0,3628.7,1363.4,1364.9,1390.8,1334.5
14,0,4467.9,1690.9,1749.8,1730.2,1592.9
15,0,3855.5,1464.8,1422.3,1540.9,1431.1
16,0,4127.7,1628.5,1780.2,1622.1,1483.2
17,0,6191.5,2400.9,2379.4,2319.3,2504.1
18,0,3356.6,1193,1191.1,1206.4,1181.7
19,0,4241.1,1599.2,1578.4,1530.8,1688.3
20,0,3878.2,1516.3,1557.4,1481.4,1510
21,0,4354.5,1941.3,1981.9,1902.8,1939.1
22,0,4173,2036.3,2119,2076.6,1913.2
23,0,7098.7,3712.6,3612.2,3768.1,3757.6
24,0,4808.1,2256.3,2193.6,2351.8,2223.5
25,0,4150.4,1926.6,1991.8,1959,1829
26,0,6985.3,3322.3,3556.7,3327.9,3082.4
27,0,7801.8,2859.8,2912.4,2823.5,2843.6
28,0,4740,2200.2,2128.1,2341.6,2130.9
29,0,3016.4,1411.8,1439.3,1378.7,1417.5
30,0,5692.6,2314.8,2385.9,2448,2110.6
31,0,3628.7,1365.9,1364.6,1345.4,1387.7
32,0,7847.1,3121.4,3184.2,3110.2,3069.8
33,0,3674.1,1489.5,1553.5,1457.8,1457.3
34,0,4558.6,1978.7,1979.2,1944.8,2012.3
35,0,3447.3,1359.8,1284.6,1444.6,1350.2
36,0,4059.6,1644.9,1676.9,1716.8,1540.9
37,0,3129.8,1265,1259.7,1266,1269.1
38,0,5669.9,2420.1,2506.3,2401.9,2352
39,0,11998,5322.2,5473,5348.3,5145.2
40,0,10773,5357.6,5880.4,5041.9,5150.4
