ID,RockVoxel,BallVoxel,Reconstructed Volume,Actual Volume,Correction Need,Avg,,,,,
1,7.45E+06,1.37E+05,1765.566239,1517.7,0.86,0.79,1,1.163317019,1.003965853,0.445553333,0.079755897
2,7.48E+06,1.37E+05,1772.768377,1517.7,0.86,0.86,2,1.168062448,1.058122074,0.479276667,0.067886511
3,7.56E+06,1.37E+05,1790.773722,1517.7,0.85,0.85,3,1.179926021,1.0529943,0.5513,0.107203553
4,6.99E+06,1.37E+05,1656.79974,1449.4,0.87,0.87,4,1.143093514,1.069526302,0.56824,0.12955567
5,6.94E+06,1.37E+05,1644.693514,1449.4,0.88,0.91,5,1.134740937,1.077892686,0.5068,0.077704504
6,7.03E+06,1.37E+05,1664.546776,1449.4,0.87,0.84,6,1.14843851,1.054328568,0.490686667,0.061640524
7,1.54E+07,1.37E+05,3653.900503,3461.6,0.95,0.88,7,1.055552491,0.978055938,0.462603333,0.099276364
8,1.63E+07,1.37E+05,3871.623032,3461.6,0.89,,8,1.118448992,1.05837486,0.55203,0.160974243
9,1.52E+07,1.37E+05,3592.066357,3461.6,0.96,,9,1.037689611,0.972257055,0.435856667,0.108475945
10,6.23E+06,1.37E+05,1477.101657,1151,0.78,,10,1.283320293,1.118085105,0.479986667,0.088792444
11,6.14E+06,1.37E+05,1454.026386,1151,0.79,,11,1.263272273,1.13195512,0.443243333,0.089527441
12,5.79E+06,1.37E+05,1372.836494,1151,0.84,,12,1.192733704,1.088083249,0.41524,0.054266051
13,9.23E+06,1.37E+05,2185.991048,2071.8,0.95,,13,1.05511683,0.988393352,0.46226,0.104208618
14,9.85E+06,1.37E+05,2334.013939,2071.8,0.89,,14,1.126563345,1.051392279,0.47028,0.132959175
15,1.06E+07,1.37E+05,2500.610764,2071.8,0.83,,15,1.20697498,1.106011523,0.51067,0.119265477
16,1.01E+07,1.37E+05,2397.553854,2114.5,0.88,,16,1.133863256,1.064897157,0.437066667,0.128294035
17,1.07E+07,1.37E+05,2545.624127,2114.5,0.83,,17,1.203889395,1.102066838,0.41204,0.075344212
18,1.08E+07,1.37E+05,2562.918734,2114.5,0.83,,18,1.212068449,1.131424686,0.502096667,0.197327893
19,6.58E+06,1.37E+05,1559.878862,1449.4,0.93,,19,1.07622386,0.951158037,0.48718,0.160509859
20,7.16E+06,1.37E+05,1697.311766,1449.4,0.85,,20,1.171044409,1.040906244,0.42227,0.035584706
21,6.71E+06,1.37E+05,1589.658755,1449.4,0.91,,21,1.096770219,0.9853603,0.37377,0.054825001
22,5.46E+06,1.37E+05,1292.689017,1142.5,0.88,,22,1.13145647,0.982599794,0.464393333,0.069118587
23,5.34E+06,1.37E+05,1265.51516,1142.5,0.90,,23,1.107671913,0.99367475,0.462296667,0.099300081
24,5.21E+06,1.37E+05,1234.005806,1142.5,0.93,,24,1.080092609,1.012057576,0.437036667,0.111497511
25,7.03E+06,1.37E+05,1665.091675,1406.8,0.84,,25,1.183602271,1.134982257,0.48721,0.067491102
26,6.83E+06,1.37E+05,1617.306437,1406.8,0.87,,26,1.149634942,1.059124183,0.509443333,0.066948518
27,7.26E+06,1.37E+05,1720.173817,1406.8,0.82,,27,1.22275648,1.135326946,0.489073333,0.061954346
28,4.33E+06,1.37E+05,1025.072729,886.7,0.87,,28,1.156053602,1.002168995,0.462903333,0.133736613
29,4.12E+06,1.37E+05,975.107896,886.7,0.91,,29,1.099704405,0.995415038,0.436576667,0.066313071
30,4.15E+06,1.37E+05,983.2576838,886.7,0.90,,30,1.10889555,0.973188912,0.44622,0.060239836
31,6.70E+06,1.67E+05,1300.489668,1389.8,1.07,,31,0.935738717,0.861364332,0.428736667,0.092354579
32,6.91E+06,1.67E+05,1340.203571,1389.8,1.04,,32,0.964313981,0.841794033,0.43739,0.1104973
33,6.65E+06,1.67E+05,1290.12952,1389.8,1.08,,33,0.9282843,0.860085109,0.487466667,0.136482356
34,7.20E+06,1.67E+05,1397.417201,1432.4,1.03,,34,0.975577493,0.903257934,0.41811,0.03593626
