"depth (in.)","sv, center","sv, c; stru.","sv,c; gt-pav","sr,center","sr,c; stru.","sr,c;gt-pav","sv, 5 in.","sv,5; stru.","sv,5; gt-pav","sr, 5 in.","sr,5, stru.","sr,5, gt-pav"
1,14.02,14.44,14.44,18.52,18.23,18.23,6.758,6.381,6.381,10.43,10.47,10.47
2,11.58,11.71,11.71,6.107,5.753,5.753,5.69,6.103,6.103,4.929,4.945,4.945
3,8.705,8.438,8.438,-5.717,-6.21,-6.21,4.621,4.9,4.9,-0.452,-0.4085,-0.4085
3.99,6.763,6.5,6.5,-18.26,-18.92,-18.92,3.887,4.393,4.393,-5.592,-4.622,-4.622
4.01,6.743,6.487,6.487,1.611,1.532,1.532,3.878,4.156,4.156,1.696,2.047,2.047
5,5.744,5.663,5.663,0.937,0.848,0.848,3.444,3.57,3.57,1.182,1.323,1.323
7.5,3.654,3.502,3.502,-0.107,-0.174,-0.174,2.433,2.472,2.472,0.199,0.3095,0.3095
10,2.2,1.999,1.999,-0.841,-0.872,-0.872,1.605,1.538,1.538,-0.563,-0.4777,-0.4777
12.5,1.243,0.969,0.969,-1.647,-1.673,-1.673,0.998,0.842,0.842,-1.324,-1.252,-1.252
14.99,0.771,0.743,0.743,-2.822,-2.837,-2.837,0.68,0.687,0.687,-2.275,-2.154,-2.154
15.01,0.7695,0.73,0.73,-0.0149,0.0073,0.0073,0.679,0.666,0.666,0.0217,0.0541,0.0541
20,0.523,0.51,0.51,-0.0065,0.0338,0.0338,0.484,0.478,0.478,0.0093,0.0543,0.0543
25,0.384,0.382,0.382,-0.0035,0.0501,0.0501,0.364,0.365,0.365,0.0044,0.06,0.06
35,0.238,0.246,0.246,-0.00216,0.065,0.065,0.231,0.242,0.242,0.0005,0.0691,0.0691
55,0.1203,0.164,0.164,,,,-0.0015,0.0852,0.0852
