 TITLE ="GEORGIA TECH TEST PIT GRID (LINEAR ELASTIC/ANISOTROPIC RUN)                     "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  383, E=  112, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003301     0.0000000    -3.3477368    -3.3477368    -5.0216052     0.0000000
  0.69999999  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003301     0.0000031    -3.3479001    -3.3479001    -5.0218501     0.0078700
  1.39999998  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003300     0.0000062    -3.3471559    -3.3471559    -5.0207339     0.0157302
  2.97499990  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003299     0.0000131    -3.3459201    -3.3459201    -5.0188801     0.0333180
  4.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003294     0.0000200    -3.3401651    -3.3401651    -5.0102476     0.0506845
  7.05000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003285     0.0000305    -3.3314249    -3.3314249    -4.9971373     0.0772776
  9.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003266     0.0000405    -3.3125483    -3.3125483    -4.9688224     0.1026507
 13.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003247     0.0000546    -3.2926132    -3.2926132    -4.9389198     0.1383660
 17.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003207     0.0000666    -3.2527404    -3.2527404    -4.8791106     0.1688345
 25.04999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003122     0.0000809    -3.1660686    -3.1660686    -4.7491029     0.2049945
 32.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003037     0.0000868    -3.0802239    -3.0802239    -4.6203358     0.2201685
 42.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002882     0.0000771    -2.9229834    -2.9229834    -4.3844750     0.1953867
 52.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002807     0.0000601    -2.8463791    -2.8463791    -4.2695686     0.1524322
 65.05000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002710     0.0000298    -2.7480951    -2.7480951    -4.1221426     0.0756035
 77.55000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002696     0.0000000    -2.7338301    -2.7338301    -4.1007451     0.0000000
  0.00000000 10.00000000  0.00000000 -0.00341779     0.0000395     0.0000395    -0.0003535    -0.0000003    -2.5821727    -2.5821727    -4.5749006    -0.0007666
  1.39999998 10.00000000  0.00005527 -0.00341642     0.0000394     0.0000395    -0.0003532     0.0000067    -2.5818831    -2.5817196    -4.5730705     0.0170047
  4.55000019 10.00000000  0.00017786 -0.00340291     0.0000383     0.0000391    -0.0003512     0.0000222    -2.5827600    -2.5787935    -4.5579596     0.0561684
  9.55000019 10.00000000  0.00035949 -0.00335278     0.0000340     0.0000376    -0.0003439     0.0000442    -2.5881142    -2.5698918    -4.5046905     0.1121665
 17.54999924 10.00000000  0.00058768 -0.00322038     0.0000222     0.0000335    -0.0003233     0.0000725    -2.6010844    -2.5440982    -4.3534505     0.1836966
 32.54999924 10.00000000  0.00073932 -0.00289865    -0.0000029     0.0000227    -0.0002760     0.0000841    -2.6134444    -2.4833673    -3.9980782     0.2131498
 52.54999924 10.00000000  0.00049693 -0.00256261    -0.0000198     0.0000095    -0.0002319     0.0000497    -2.5562456    -2.4080194    -3.6316297     0.1259561
 77.55000305 10.00000000  0.00000000 -0.00242878    -0.0000195     0.0000000    -0.0002162    -0.0000013    -2.4889164    -2.3900848    -3.4862957    -0.0032314
  0.00000000 20.00000000  0.00000000 -0.00706906     0.0000694     0.0000694    -0.0003699     0.0000005    -1.9924073    -1.9924073    -4.2201872     0.0013403
  0.69999999 20.00000000  0.00004854 -0.00706779     0.0000693     0.0000693    -0.0003699     0.0000050    -1.9938464    -1.9935644    -4.2206540     0.0127925
  1.39999998 20.00000000  0.00009700 -0.00706474     0.0000692     0.0000693    -0.0003696     0.0000103    -1.9927087    -1.9923103    -4.2176694     0.0260986
  2.97499990 20.00000000  0.00020517 -0.00704906     0.0000681     0.0000690    -0.0003684     0.0000211    -2.0007907    -1.9965484    -4.2145439     0.0535073
  4.55000019 20.00000000  0.00031160 -0.00702448     0.0000671     0.0000685    -0.0003663     0.0000324    -1.9997006    -1.9926667    -4.1973853     0.0821182
  7.05000019 20.00000000  0.00047472 -0.00696143     0.0000633     0.0000673    -0.0003620     0.0000484    -2.0245767    -2.0042294    -4.1810546     0.1226286
  9.55000019 20.00000000  0.00062822 -0.00687840     0.0000593     0.0000658    -0.0003553     0.0000642    -2.0339550    -2.0012171    -4.1365609     0.1627316
