 TITLE ="GEORGIA TECH TEST PIT GRID (LINEAR ELASTIC/ANISOTROPIC RUN)                     "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  383, E=  112, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001597     0.0000000    -3.4228973    -3.4228973    -5.1343456     0.0000000
  0.69999999  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001597     0.0000019    -3.4230803    -3.4230803    -5.1346201     0.0102083
  1.39999998  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001597     0.0000038    -3.4220882    -3.4220882    -5.1331319     0.0204025
  2.97499990  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001596     0.0000081    -3.4207782    -3.4207782    -5.1311669     0.0432348
  4.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001593     0.0000123    -3.4136711    -3.4136711    -5.1205063     0.0657384
  7.05000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001588     0.0000187    -3.4029133    -3.4029133    -5.1043696     0.1003275
  9.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001577     0.0000248    -3.3794633    -3.3794633    -5.0691946     0.1330978
 13.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001566     0.0000335    -3.3554515    -3.3554515    -5.0331769     0.1795403
 17.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001544     0.0000407    -3.3076742    -3.3076742    -4.9615109     0.2180811
 25.04999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001495     0.0000493    -3.2041159    -3.2041159    -4.8061735     0.2642570
 32.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001450     0.0000522    -3.1063606    -3.1063606    -4.6595406     0.2797207
 42.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001362     0.0000459    -2.9187136    -2.9187136    -4.3780701     0.2457912
 52.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001324     0.0000350    -2.8376286    -2.8376286    -4.2564426     0.1877108
 65.05000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001275     0.0000172    -2.7313720    -2.7313720    -4.0970577     0.0919677
 77.55000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001267     0.0000000    -2.7142544    -2.7142544    -4.0713814     0.0000000
