 TITLE ="GEORGIA TECH TEST PIT GRID (LINEAR ELASTIC/ISOTROPIC RUN)                       "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  383, E=  112, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003295     0.0000000    -3.3416096    -3.3416096    -5.0124143     0.0000000
  0.69999999  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003295     0.0000030    -3.3417483    -3.3417483    -5.0126224     0.0076917
  1.39999998  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003294     0.0000061    -3.3409675    -3.3409675    -5.0114513     0.0153726
  2.97499990  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003293     0.0000128    -3.3397483    -3.3397483    -5.0096224     0.0325255
  4.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003288     0.0000195    -3.3340036    -3.3340036    -5.0010054     0.0494537
  7.05000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003280     0.0000297    -3.3263097    -3.3263097    -4.9894646     0.0753261
  9.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003262     0.0000394    -3.3083645    -3.3083645    -4.9625468     0.0999513
 13.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003241     0.0000531    -3.2870694    -3.2870694    -4.9306042     0.1346496
 17.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003202     0.0000648    -3.2471129    -3.2471129    -4.8706694     0.1642022
 25.04999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003114     0.0000781    -3.1576103    -3.1576103    -4.7364155     0.1979739
 32.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0003029     0.0000836    -3.0718491    -3.0718491    -4.6077737     0.2120719
 42.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002881     0.0000742    -2.9219665    -2.9219665    -4.3829497     0.1881597
 52.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002806     0.0000580    -2.8457125    -2.8457125    -4.2685687     0.1471428
 65.05000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002712     0.0000290    -2.7498500    -2.7498500    -4.1247750     0.0734220
 77.55000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0002700     0.0000000    -2.7380735    -2.7380735    -4.1071102     0.0000000
  0.00000000 10.00000000  0.00000000 -0.00339906     0.0000382     0.0000382    -0.0003503    -0.0000003    -2.5836181    -2.5836181    -4.5537562    -0.0006983
  1.39999998 10.00000000  0.00005342 -0.00339763     0.0000381     0.0000382    -0.0003501     0.0000066    -2.5836331    -2.5833908    -4.5520938     0.0166369
  4.55000019 10.00000000  0.00017175 -0.00338378     0.0000369     0.0000377    -0.0003480     0.0000215    -2.5845492    -2.5804509    -4.5364847     0.0543927
  9.55000019 10.00000000  0.00034629 -0.00333362     0.0000326     0.0000363    -0.0003405     0.0000428    -2.5893347    -2.5708325    -4.4812895     0.1085371
 17.54999924 10.00000000  0.00056396 -0.00320183     0.0000210     0.0000321    -0.0003202     0.0000693    -2.6019370    -2.5454214    -4.3319282     0.1755926
 32.54999924 10.00000000  0.00070642 -0.00288844    -0.0000027     0.0000217    -0.0002748     0.0000795    -2.6082625    -2.4843373    -3.9877483     0.2016493
 52.54999924 10.00000000  0.00047901 -0.00256581    -0.0000187     0.0000091    -0.0002326     0.0000482    -2.5502851    -2.4093137    -3.6347717     0.1220906
 77.55000305 10.00000000  0.00000000 -0.00243389    -0.0000191     0.0000000    -0.0002168    -0.0000014    -2.4885940    -2.3919160    -3.4911960    -0.0034395
  0.00000000 20.00000000  0.00000000 -0.00700623     0.0000661     0.0000661    -0.0003651     0.0000006    -2.0256423    -2.0256423    -4.2123617     0.0014811
  0.69999999 20.00000000  0.00004626 -0.00700491     0.0000660     0.0000661    -0.0003650     0.0000050    -2.0274335    -2.0271252    -4.2131987     0.0128019
  1.39999998 20.00000000  0.00009243 -0.00700179     0.0000660     0.0000660    -0.0003647     0.0000104    -2.0259805    -2.0256860    -4.2099746     0.0263861
  2.97499990 20.00000000  0.00019554 -0.00698540     0.0000649     0.0000657    -0.0003637     0.0000212    -2.0343679    -2.0301834    -4.2075932     0.0537306
  4.55000019 20.00000000  0.00029687 -0.00696009     0.0000638     0.0000652    -0.0003615     0.0000324    -2.0335593    -2.0264224    -4.1904714     0.0821148
  7.05000019 20.00000000  0.00045171 -0.00689517     0.0000600     0.0000641    -0.0003570     0.0000482    -2.0583813    -2.0375649    -4.1726614     0.1222070
  9.55000019 20.00000000  0.00059671 -0.00681004     0.0000558     0.0000625    -0.0003503     0.0000632    -2.0691197    -2.0353870    -4.1282640     0.1603561
 13.55000019 20.00000000  0.00079893 -0.00662526     0.0000455     0.0000590    -0.0003362     0.0000819    -2.1198852    -2.0515288    -4.0553611     0.2077618
 17.54999924 20.00000000  0.00096056 -0.00640368     0.0000344     0.0000547    -0.0003200     0.0000965    -2.1665218    -2.0635208    -3.9636515     0.2445477
 25.04999924 20.00000000  0.00113426 -0.00594601     0.0000128     0.0000453    -0.0002813     0.0000998    -2.1981551    -2.0335284    -3.6892711     0.2530966
 32.54999924 20.00000000  0.00115277 -0.00549573    -0.0000071     0.0000354    -0.0002481     0.0000945    -2.2654865    -2.0497528    -3.4874282     0.2395338
 42.54999924 20.00000000  0.00102150 -0.00500085    -0.0000199     0.0000240    -0.0002112     0.0000706    -2.2006794    -1.9781734    -3.1708176     0.1790985
 52.54999924 20.00000000  0.00075529 -0.00465117    -0.0000319     0.0000144    -0.0001854     0.0000461    -2.2198411    -1.9852885    -2.9984628     0.1168109
 65.05000305 20.00000000  0.00037647 -0.00441057    -0.0000302     0.0000058    -0.0001704     0.0000214    -2.1286553    -1.9461138    -2.8393408     0.0543081
 77.55000305 20.00000000  0.00000000 -0.00433580    -0.0000300     0.0000000    -0.0001644    -0.0000007    -2.1236432    -1.9714037    -2.8048661    -0.0016515
  0.00000000 27.00000000  0.00000000 -0.00967328     0.0000924     0.0000924    -0.0004029    -0.0000003    -1.7431700    -1.7431700    -4.2549788    -0.0008132
  1.39999998 27.00000000  0.00012900 -0.00966508     0.0000922     0.0000921    -0.0004022     0.0000177    -1.7416799    -1.7420263    -4.2486874     0.0447766
  4.55000019 27.00000000  0.00041271 -0.00958825     0.0000881     0.0000907    -0.0003951     0.0000565    -1.7462626    -1.7332628    -4.1966724     0.1433393
  9.55000019 27.00000000  0.00081534 -0.00931720     0.0000730     0.0000854    -0.0003706     0.0001084    -1.7818768    -1.7192101    -4.0313524     0.2747908
 17.54999924 27.00000000  0.00126250 -0.00862298     0.0000368     0.0000719    -0.0003143     0.0001517    -1.8972447    -1.7193079    -3.6777352     0.3845503
 32.54999924 27.00000000  0.00141083 -0.00712994    -0.0000163     0.0000433    -0.0002174     0.0001217    -2.0128868    -1.7104345    -3.0324387     0.3084879
 52.54999924 27.00000000  0.00086550 -0.00584099    -0.0000372     0.0000165    -0.0001536     0.0000486    -1.9561117    -1.6840936    -2.5464244     0.1232603
 77.55000305 27.00000000  0.00000000 -0.00538569    -0.0000326     0.0000000    -0.0001348    -0.0000006    -1.8636865    -1.6982295    -2.3818873    -0.0014455
  0.00000000 34.00000000  0.00000000 -0.01264733     0.0001279     0.0001279    -0.0004461     0.0000008    -1.2800301    -1.2800301    -4.1906066     0.0020063
  0.69999999 34.00000000  0.00008940 -0.01264336     0.0001275     0.0001277    -0.0004457     0.0000150    -1.2856479    -1.2845498    -4.1924449     0.0379160
  1.39999998 34.00000000  0.00017851 -0.01263256     0.0001272     0.0001275    -0.0004447     0.0000307    -1.2812897    -1.2797649    -4.1809976     0.0779081
  2.97499990 34.00000000  0.00037602 -0.01257871     0.0001235     0.0001264    -0.0004408     0.0000631    -1.3102672    -1.2954854    -4.1716212     0.1600657
  4.55000019 34.00000000  0.00056746 -0.01249158     0.0001192     0.0001247    -0.0004335     0.0000958    -1.3175810    -1.2897158    -4.1201277     0.2429165
  7.05000019 34.00000000  0.00084898 -0.01227889     0.0001064     0.0001204    -0.0004179     0.0001381    -1.3978706    -1.3267357    -4.0561813     0.3502374
  9.55000019 34.00000000  0.00109944 -0.01199849     0.0000914     0.0001151    -0.0003968     0.0001766    -1.4663312    -1.3460993    -3.9420857     0.4476613
 13.55000019 34.00000000  0.00140399 -0.01143716     0.0000634     0.0001036    -0.0003542     0.0002053    -1.5769146    -1.3730923    -3.6947385     0.5204003
 17.54999924 34.00000000  0.00160680 -0.01080367     0.0000345     0.0000916    -0.0003133     0.0002255    -1.7241527    -1.4347057    -3.4874899     0.5717244
 25.04999924 34.00000000  0.00172387 -0.00959175     0.0000003     0.0000688    -0.0002393     0.0001926    -1.7247233    -1.3770615    -2.9392647     0.4882912
 32.54999924 34.00000000  0.00161061 -0.00853891    -0.0000292     0.0000495    -0.0001867     0.0001517    -1.8366364    -1.4374814    -2.6352356     0.3846243
 42.54999924 34.00000000  0.00129319 -0.00749222    -0.0000355     0.0000304    -0.0001449     0.0000954    -1.7012237    -1.3672581    -2.2563062     0.2418664
 52.54999924 34.00000000  0.00090122 -0.00680144    -0.0000414     0.0000171    -0.0001206     0.0000491    -1.6782369    -1.3814401    -2.0797303     0.1245620
 65.05000305 34.00000000  0.00042691 -0.00636053    -0.0000360     0.0000066    -0.0001081     0.0000213    -1.5779218    -1.3618493    -1.9431759     0.0539290
 77.55000305 34.00000000  0.00000000 -0.00622335    -0.0000323     0.0000000    -0.0001042    -0.0000012    -1.5477894    -1.3842221    -1.9127658    -0.0029768
  0.00000000 38.00000000  0.00000000 -0.01459248     0.0001618     0.0001618    -0.0005272    -0.0000005    -1.2448752    -1.2448752    -4.7388146    -0.0012717
  1.39999998 38.00000000  0.00022531 -0.01456982     0.0001609     0.0001609    -0.0005250     0.0000460    -1.2445662    -1.2442810    -4.7223851     0.1167277
  4.55000019 38.00000000  0.00071054 -0.01436210     0.0001472     0.0001562    -0.0005027     0.0001430    -1.2754163    -1.2300060    -4.5710904     0.3624654
  9.55000019 38.00000000  0.00133850 -0.01366222     0.0001021     0.0001402    -0.0004337     0.0002526    -1.4235470    -1.2305708    -4.1403120     0.6405208
 17.54999924 38.00000000  0.00184957 -0.01205209     0.0000230     0.0001054    -0.0003064     0.0002818    -1.6883346    -1.2707615    -3.3589534     0.7144750
 32.54999924 38.00000000  0.00169123 -0.00924119    -0.0000392     0.0000520    -0.0001629     0.0001596    -1.7212816    -1.2590050    -2.3483536     0.4047672
 52.54999924 38.00000000  0.00088150 -0.00724698    -0.0000416     0.0000168    -0.0001025     0.0000446    -1.5024226    -1.2062567    -1.8109257     0.1129558
 77.55000305 38.00000000  0.00000000 -0.00660972    -0.0000303     0.0000000    -0.0000892    -0.0000012    -1.3652895    -1.2118079    -1.6642302    -0.0029933
  0.00000000 42.00000000  0.00000000 -0.01686530     0.0002081     0.0002081    -0.0006091    -0.0000001    -0.9007948    -0.9007948    -5.0447390    -0.0003086
  0.69999999 42.00000000  0.00014523 -0.01685712     0.0002068     0.0002075    -0.0006078     0.0000333    -0.9136732    -0.9104132    -5.0444966     0.0843243
  1.39999998 42.00000000  0.00028956 -0.01683241     0.0002062     0.0002068    -0.0006045     0.0000696    -0.8955737    -0.8924882    -5.0063737     0.1764301
  2.97499990 42.00000000  0.00060643 -0.01671063     0.0001955     0.0002038    -0.0005930     0.0001412    -0.9734392    -0.9309734    -4.9716538     0.3580130
  4.55000019 42.00000000  0.00090528 -0.01651347     0.0001826     0.0001990    -0.0005723     0.0002109    -1.0088163    -0.9257446    -4.8366352     0.5347219
  7.05000019 42.00000000  0.00131756 -0.01605419     0.0001487     0.0001869    -0.0005266     0.0002877    -1.1829125    -0.9892675    -4.6070618     0.7294153
  9.55000019 42.00000000  0.00164878 -0.01546790     0.0001110     0.0001726    -0.0004739     0.0003536    -1.3663294    -1.0539125    -4.3325041     0.8963792
 13.55000019 42.00000000  0.00197424 -0.01437441     0.0000569     0.0001457    -0.0003774     0.0003619    -1.4833948    -1.0332875    -3.6856479     0.9174574
 17.54999924 42.00000000  0.00210426 -0.01325508     0.0000057     0.0001199    -0.0003000     0.0003519    -1.7388003    -1.1598713    -3.2888147     0.8921007
 25.04999924 42.00000000  0.00202058 -0.01134051    -0.0000257     0.0000807    -0.0001979     0.0002569    -1.5796721    -1.0403316    -2.4527034     0.6514402
 32.54999924 42.00000000  0.00171873 -0.00984189    -0.0000510     0.0000528    -0.0001384     0.0001681    -1.6428145    -1.1166639    -2.0859608     0.4262828
