,"GT-PAVE","(2.3)"," ","GT-PAVE","(2.2)",,"GT-PAVE","(2.6)"
"Depth","Vertical","Vertical","Depth","Radial","Radial","Depth","Deflection","Deflection"
"(in.)","Stress","stress"," (in.)","stress","stress","(in.)","(in.)","(in.)"
1,15,14.886,0,11.99,12,0,0.00442,0.00455
2,14.3731,14.232,1,8.2598,8.2323,1,0.00412,0.00425
3,13.0422,12.957,2,5.1724,5.1421,2,0.00376,0.00389
4,11.3637,11.3432,3,2.9749,2.989,3,0.00339,0.00352
5,9.6431,9.697,4,1.5931,1.647,4,0.00303,0.00316
7.5,6.2497,6.359,5,0.7714,0.863,5,0.0027,0.00283
10,4.1763,4.2669,7.5,-0.00255,0.0953,7.5,0.00206,0.00219
12.5,2.9379,2.9938,10,-0.14706,-0.0748,10,0.00162,0.00176
15,2.1343,2.1928,12.5,-0.14868,-0.1022,12.5,0.00132,0.00146
20,1.2557,1.3039,15,-0.13307,-0.0957,15,0.0011,0.00124
25,0.84113,0.857,20,-0.08832,-0.06971,20,0.000805,0.000948
30,0.57152,0.604,25,-0.04332,-0.0498,25,0.000623,0.000766
40,0.39511,0.3448,30,-0.02423,-0.0367,30,0.0005,0.000642
50,0.20967,0.2222,40,0.02942,-0.02182,40,0.000342,0.000484
,,,50,0.02533,-0.014335,50,0.000248,0.000388
,,,,,,75,0.000103,0.000259
,,,,,,100,0,0.000195
