 TITLE ="GEORGIA TECH TEST PIT GRID (linear elastic)                                     "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  475, E=  140, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001582     0.0000000    -3.3904941    -3.3904941    -5.0857408     0.0000000
  0.69999999  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001582     0.0000017    -3.3906873    -3.3906873    -5.0860306     0.0091818
  1.39999998  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001582     0.0000034    -3.3898112    -3.3898112    -5.0847164     0.0183494
  2.97499990  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001581     0.0000073    -3.3888594    -3.3888594    -5.0832888     0.0388729
  4.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001579     0.0000110    -3.3826076    -3.3826076    -5.0739111     0.0591047
  7.05000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001575     0.0000169    -3.3748617    -3.3748617    -5.0622923     0.0903098
  9.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001566     0.0000224    -3.3552002    -3.3552002    -5.0328000     0.1198946
 13.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001554     0.0000303    -3.3299401    -3.3299401    -4.9949099     0.1623616
 17.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001533     0.0000370    -3.2840860    -3.2840860    -4.9261288     0.1981160
 25.04999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001487     0.0000448    -3.1854827    -3.1854827    -4.7782238     0.2399162
 32.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001442     0.0000478    -3.0905948    -3.0905948    -4.6358920     0.2559534
 42.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001365     0.0000426    -2.9240081    -2.9240081    -4.3860118     0.2284600
 52.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001327     0.0000332    -2.8433391    -2.8433391    -4.2650084     0.1778177
 65.05000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001277     0.0000166    -2.7369707    -2.7369707    -4.1054558     0.0888140
