ZONE =           1


     TOTAL NUM OF LAYERS USED IN MESH GENERATION:      3

     TOTAL NUM OF COLUMNS USED IN MESH GENERATION:     5

     INITIAL NODE NO:     63

     INITIAL R-COORDINATES OF THE FIRST NODE:     0.000
     INITIAL Z-COORDINATES OF THE FIRST NODE:    45.000
     INITIAL ELEMENT NO:     16
     ENDING NODE NO:    182
     ENDING  ELEMENT NO:     30
     ZONE ID NO [(W/OUT INTERFACE)=0, (W/INTERFACE)=1]:   1


     ELEMENT MESH LAYER THICKNESSES (bottom to top):

      8.000      6.000      4.000


     ELEMENT MESH COLUMN WIDTHS (left to right):

      2.000      4.000      6.000      8.000     10.000
2.ICOUNT=          77
2.ICOUNT=         117
2.ICOUNT=         157
 
  NODE   R-COORD   Z-COORD 
 ------ --------- ---------
    63       0.00     45.00
    64       1.00     45.00
    65       2.00     45.00
    66       2.00     45.00
    67       4.00     45.00
    68       6.00     45.00
    69       6.00     45.00
    70       9.00     45.00
    71      12.00     45.00
    72      12.00     45.00
    73      16.00     45.00
    74      20.00     45.00
    75      20.00     45.00
    76      25.00     45.00
    77      30.00     45.00
    78       0.00     49.00
    79       2.00     49.00
    80       2.00     49.00
    81       6.00     49.00
    82       6.00     49.00
    83      12.00     49.00
    84      12.00     49.00
    85      20.00     49.00
    86      20.00     49.00
    87      30.00     49.00
    88       0.00     53.00
    89       1.00     53.00
    90       2.00     53.00
    91       2.00     53.00
    92       4.00     53.00
    93       6.00     53.00
    94       6.00     53.00
    95       9.00     53.00
    96      12.00     53.00
    97      12.00     53.00
    98      16.00     53.00
    99      20.00     53.00
   100      20.00     53.00
   101      25.00     53.00
   102      30.00     53.00
   103       0.00     53.00
   104       1.00     53.00
   105       2.00     53.00
   106       2.00     53.00
   107       4.00     53.00
   108       6.00     53.00
   109       6.00     53.00
   110       9.00     53.00
   111      12.00     53.00
   112      12.00     53.00
   113      16.00     53.00
   114      20.00     53.00
   115      20.00     53.00
   116      25.00     53.00
   117      30.00     53.00
   118       0.00     56.00
   119       2.00     56.00
   120       2.00     56.00
   121       6.00     56.00
   122       6.00     56.00
   123      12.00     56.00
   124      12.00     56.00
   125      20.00     56.00
   126      20.00     56.00
   127      30.00     56.00
   128       0.00     59.00
   129       1.00     59.00
   130       2.00     59.00
   131       2.00     59.00
   132       4.00     59.00
   133       6.00     59.00
   134       6.00     59.00
   135       9.00     59.00
   136      12.00     59.00
   137      12.00     59.00
   138      16.00     59.00
   139      20.00     59.00
   140      20.00     59.00
   141      25.00     59.00
   142      30.00     59.00
   143       0.00     59.00
   144       1.00     59.00
   145       2.00     59.00
   146       2.00     59.00
   147       4.00     59.00
   148       6.00     59.00
   149       6.00     59.00
   150       9.00     59.00
   151      12.00     59.00
   152      12.00     59.00
   153      16.00     59.00
   154      20.00     59.00
   155      20.00     59.00
   156      25.00     59.00
   157      30.00     59.00
   158       0.00     61.00
   159       2.00     61.00
   160       2.00     61.00
   161       6.00     61.00
   162       6.00     61.00
   163      12.00     61.00
   164      12.00     61.00
   165      20.00     61.00
   166      20.00     61.00
   167      30.00     61.00
   168       0.00     63.00
   169       1.00     63.00
   170       2.00     63.00
   171       2.00     63.00
   172       4.00     63.00
   173       6.00     63.00
   174       6.00     63.00
   175       9.00     63.00
   176      12.00     63.00
   177      12.00     63.00
   178      16.00     63.00
   179      20.00     63.00
   180      20.00     63.00
   181      25.00     63.00
   182      30.00     63.00
 
  ELEMENT    1   2   3   4   5   6   7   8 
 ---------  --- --- --- --- --- --- --- ---
      16     63  65  90  88  64  79  89  78
      17     66  68  93  91  67  81  92  80
      18     69  71  96  94  70  83  95  82
      19     72  74  99  97  73  85  98  84
      20     75  77 102 100  76  87 101  86
      21    103 105 130 128 104 119 129 118
      22    106 108 133 131 107 121 132 120
      23    109 111 136 134 110 123 135 122
      24    112 114 139 137 113 125 138 124
      25    115 117 142 140 116 127 141 126
      26    143 145 170 168 144 159 169 158
      27    146 148 173 171 147 161 172 160
      28    149 151 176 174 150 163 175 162
      29    152 154 179 177 153 165 178 164
      30    155 157 182 180 156 167 181 166

