 TITLE ="EXAMPLE GRID (12 elements, linear run)                                          "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=   51, E=   12, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0030486     0.0000000   -26.1306404   -26.1306404   -39.1959606     0.0000000
  2.50000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0035426     0.0022591   -30.3648556   -30.3648556   -45.5472833     4.8408216
  5.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0046368     0.0045997   -39.7439029   -39.7439029   -59.6158543     9.8564876
  7.50000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0058965     0.0086723   -50.5412966   -50.5412966   -75.8119449    18.5834966
 10.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0079481     0.0131410   -68.1268081   -68.1268081  -102.1902122    28.1593274
 12.50000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0133841     0.0224158  -114.7210108  -114.7210108  -172.0815161    48.0339399
 15.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0191216     0.0322755  -163.8994258  -163.8994258  -245.8491387    69.1617721
  0.00000000  4.96263560  0.00000000 -0.03736440     0.0050059     0.0050059    -0.0118972    -0.0001563     5.2934071     5.2934071   -67.1483976    -0.3350162
  5.02584544  4.95585159  0.02584544 -0.04414841     0.0058406     0.0051691    -0.0130226     0.0034494     7.7772778     4.8995512   -73.0647290     7.3915166
 10.06155080  4.93782736  0.06155080 -0.06217264     0.0094827     0.0061551    -0.0169209     0.0047959    29.6414082    15.3802818   -83.5169182    10.2768492
 15.12255939  4.89392176  0.12255939 -0.10607824     0.0133714     0.0081706    -0.0233097     0.0073642    42.1543737    19.8653863  -115.0503124    15.7803438
  0.00000000  9.88102815  0.00000000 -0.11897185     0.0111506     0.0111506    -0.0118517     0.0001501    50.1006011    50.1006011   -77.1777439     1.1583163
  2.52828444  9.87840235  0.02828444 -0.12159765     0.0114770     0.0113138    -0.0118736     0.0007978    53.3528304    52.7734028   -75.1131811     4.2088433
  5.05738482  9.86977425  0.05738482 -0.13022575     0.0108503     0.0114770    -0.0121813     0.0014398    46.3165585    48.5417931   -81.2370561     6.6666226
  7.58410833  9.85424221  0.08410833 -0.14575779     0.0114816     0.0112144    -0.0132548     0.0004825    42.0745134    41.1257901   -97.1393664     4.4452243
 10.11479302  9.83079070  0.11479302 -0.16920930     0.0106323     0.0114793    -0.0145952    -0.0011808    25.0430982    28.0503729  -117.9375770    -7.6073500
 12.63821364  9.80035431  0.13821364 -0.19964569     0.0105379     0.0110571    -0.0150388    -0.0038342    19.3546154    21.1980160  -129.4307684    -8.8724296
 15.16748263  9.76690301  0.16748263 -0.23309699     0.0128773     0.0111655    -0.0162147    -0.0072327    33.5758075    27.4979152  -150.5890950   -24.9874419
  0.00000000 11.87482321  0.00000000 -0.12517679     0.0133259     0.0133259    -0.0032474     0.0001106    47.1938159    47.1938159   -82.8144168     1.4695495
  5.06779908 11.86348625  0.06779908 -0.13651375     0.0133816     0.0135598    -0.0033338     0.0003683    47.3687035    47.8704649   -85.7322680     4.8937475
 10.13585692 11.82427740  0.13585692 -0.17572260     0.0128103     0.0135857    -0.0032166    -0.0003824    45.6484655    47.8317287   -82.0337730    -5.0813646
 15.19365991 11.75671523  0.19365991 -0.24328477     0.0117542     0.0129107    -0.0052562    -0.0017523    38.2184126    41.4744611  -165.4670496   -23.2819348
  0.00000000 13.86803856  0.00000000 -0.13196144     0.0154405     0.0154405    -0.0035515     0.0000352    55.0419509    55.0419509   -87.6221671     0.4670506
  2.53877810 13.86518260  0.03877810 -0.13481740     0.0155819     0.0155112    -0.0036069     0.0001300    55.4669104    55.2678433   -89.4447135     1.7270314
  5.07790970 13.85643898  0.07790970 -0.14356102     0.0159830     0.0155819    -0.0037443     0.0001921    56.6313893    55.5021403   -94.0653618     2.5530238
  7.61814092 13.84062531  0.11814092 -0.15937469     0.0159423     0.0157521    -0.0036061     0.0008579    56.8257281    56.2902499   -88.3908686    11.3987297
 10.15762122 13.81792436  0.15762122 -0.18207564     0.0153418     0.0157621    -0.0032776     0.0007516    55.3571289    56.5405193   -76.4318758     9.9867154
 12.69278545 13.78573530  0.19278545 -0.21426470     0.0130897     0.0154228    -0.0034994    -0.0000863    47.1609198    53.7302651   -89.5928928    -1.1472498
 15.22306957 13.74587827  0.22306957 -0.25412173     0.0111376     0.0148713    -0.0061449    -0.0015027    35.7368304    46.2495249  -198.2513031   -19.9661658
  0.00000000 15.86052552  0.00000000 -0.13947448     0.0172589     0.0172589    -0.0039472     0.0001446    61.5624691    61.5624691   -97.0509785     1.9207478
  5.08829489 15.84870157  0.08829489 -0.15129843     0.0183397     0.0176590    -0.0039623     0.0004433    65.4243250    63.5076073   -95.1264213     5.8901127
 10.18087565 15.81064791  0.18087565 -0.18935209     0.0180010     0.0180876    -0.0038578     0.0010634    64.6998295    64.9434541   -90.8479568    14.1294110
 15.26163089 15.73246230  0.26163089 -0.26753770     0.0147119     0.0174421    -0.0067070     0.0004752    48.3484593    56.0355662  -209.9803695     6.3144266
  0.00000000 17.85224964  0.00000000 -0.14775036     0.0192091     0.0192091    -0.1970136     0.0003317    36.7154058    36.7154058  -101.4463529     2.2241037
  2.54884608 17.84974926  0.04884608 -0.15025074     0.0198678     0.0195384    -0.1994641     0.0054873    38.1649660    37.6601385   -97.5715296     2.9874483
  5.09933889 17.84058980  0.09933889 -0.15941020     0.0204490     0.0198678    -0.2008667     0.0118211    39.3095910    38.4187418   -97.2818691     5.8124341
  7.65038233 17.82474017  0.15038233 -0.17525983     0.0204633     0.0200510    -0.1891047     0.0227343    39.2731191    38.6411073   -96.8188146     2.7568519
 10.20165538 17.80249335  0.20165538 -0.19750665     0.0217329     0.0201655    -0.1798703     0.0442597    41.6031842    39.2007734   -93.5761395    10.9204080
 12.75777402 17.77197415  0.25777402 -0.22802585     0.0219843     0.0206219    -0.2007873     0.0862065    42.7331235    40.6447828   -85.6945790    22.5297451
 15.31157709 17.71905032  0.31157709 -0.28094968     0.0210581     0.0207718    -0.2651487     0.1515198    38.5011260    38.0622684  -162.1699825    33.2129638
  0.00000000 18.91209479  0.00000000 -0.83790521     0.0252063     0.0252063    -0.3990498    -0.0018937     6.3015779     6.3015779   -99.7624485    -0.2367137
  5.13666750 18.89731750  0.13666750 -0.85268250     0.0288080     0.0273335    -0.3947273     0.0157229     7.2019928     6.8333749   -98.6818125     1.9653662
 10.34252428 18.89721800  0.34252428 -0.85278200     0.0569814     0.0342524    -0.3934423     0.0652975    14.2453376     8.5631069   -98.3605873     8.1621838
 15.80667077 18.60178488  0.80667077 -1.14821512     0.1258834     0.0537781    -0.4675682     0.1130085    31.4708383    13.4445128  -116.8920557    14.1260669
