 TITLE ="EXAMPLE GRID (12 elements, linear run)                                          "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=   51, E=   12, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0010046     0.0000000   -81.9905267   -81.9905267  -108.6851170     0.0000000
  2.50000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0010243     0.0015232   -83.6039710   -83.6039710  -110.8238687    20.2387341
  5.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0011413     0.0030745   -93.1498084   -93.1498084  -123.4776532    40.8501581
  7.50000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0010900     0.0048706   -88.9651945   -88.9651945  -117.9306069    64.7146885
 10.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0011900     0.0067666   -97.1270673   -97.1270673  -128.7498336    89.9053214
 12.50000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0027219     0.0097735  -222.1530763  -222.1530763  -294.4819854   129.8578122
 15.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0044780     0.0127908  -365.4889052  -365.4889052  -484.4852937   169.9472127
  0.00000000  4.86676311  0.00000000 -0.01332369     0.0024594     0.0024594    -0.0043249     0.0000512   113.8170501   113.8170501   -66.4641775     0.6799804
  5.12577249  4.85960310  0.01257725 -0.01403969     0.0026477     0.0025154    -0.0044746     0.0017763   126.5530209   123.0397744   -62.7095949    23.6012331
 10.27194156  4.84334648  0.02719416 -0.01566535     0.0035207     0.0027194    -0.0050761     0.0030072   188.5564429   167.2644404   -39.8898471    39.9557409
 15.46888896  4.74190588  0.04688890 -0.02580941     0.0039596     0.0031259    -0.0058457     0.0034873   206.4045566   184.2521438   -54.1558909    46.3349347
  0.00000000  9.56750837  0.00000000 -0.04324916     0.0038006     0.0038006    -0.0073037     0.0000894   125.2705539   125.2705539  -169.8085615     1.1878971
  2.59641689  9.56488405  0.00964169 -0.04351159     0.0039128     0.0038567    -0.0074134     0.0001667   133.0393818   131.5486221  -167.9348735     2.2145417
  5.19563875  9.55254086  0.01956388 -0.04474591     0.0039676     0.0039128    -0.0075232     0.0002663   134.5875524   133.1309279  -170.7609058     3.5382229
  7.79838423  9.53002766  0.02983842 -0.04699723     0.0043094     0.0039785    -0.0078239    -0.0002021   152.3888028   143.5936319  -170.0346901    -2.6850236
 10.41111038  9.49238736  0.04111104 -0.05076126     0.0041874     0.0041111    -0.0080235    -0.0002789   133.7207120   131.6929507  -190.7649288    -3.7060931
 13.00327970  9.46512325  0.05032797 -0.05348768     0.0037074     0.0040262    -0.0074398    -0.0008973   122.4990841   130.9721940  -173.7196709   -11.9218776
 15.59647944  9.41542568  0.05964794 -0.05845743     0.0037486     0.0039765    -0.0066363    -0.0022050   188.4829879   194.5399084   -87.4788807   -29.2965689
  0.00000000 11.42471428  0.00000000 -0.05752857     0.0041395     0.0041395    -0.0073173    -0.0000570   188.5030608   188.5030608  -115.9429353    -0.7572873
  5.20964824 11.40630236  0.02096482 -0.05936976     0.0041723     0.0041930    -0.0073854    -0.0003177   190.8480041   191.3961332  -116.2818376    -4.2207277
 10.41880822 11.35034170  0.04188082 -0.06496583     0.0041789     0.0041881    -0.0071198    -0.0007898   212.8364336   213.0811397   -87.4085341   -10.4938920
 15.61644220 11.29180488  0.06164422 -0.07081951     0.0038157     0.0041096    -0.0063030    -0.0008650   233.8120885   241.6215047   -35.0769062   -11.4934642
  0.00000000 13.27481833  0.00000000 -0.07251817     0.0042545     0.0042545    -0.0075847    -0.0001202   188.5007589   188.5007589  -126.1083842    -1.5967066
  2.60629652 13.26889238  0.01062965 -0.07311076     0.0042492     0.0042519    -0.0075828    -0.0003209   187.8641397   187.9349870  -126.5519051    -4.2638976
  5.21245973 13.25712319  0.02124597 -0.07428768     0.0043564     0.0042492    -0.0075722    -0.0007434   200.1147905   197.2652276  -116.8687135    -9.8772466
  7.82131730 13.23285325  0.03213173 -0.07671468     0.0042396     0.0042842    -0.0074873    -0.0008066   197.2585075   198.4441852  -114.3668798   -10.7167242
 10.42444032 13.20759467  0.04244403 -0.07924053     0.0041518     0.0042444    -0.0072351    -0.0008383   205.0965389   207.5571889   -97.4922398   -11.1381616
 13.02783598 13.18338782  0.05278360 -0.08166122     0.0039783     0.0042227    -0.0071044    -0.0006930   195.2133350   201.7082936   -99.2920860    -9.2071328
 15.62335394 13.16330639  0.06233539 -0.08366936     0.0036632     0.0041557    -0.0065998    -0.0005585   196.8401347   209.9283125   -75.8820797    -7.4212291
  0.00000000 15.12386846  0.00000000 -0.08761315     0.0043274     0.0043274    -0.0075979    -0.0000760   201.2469586   201.2469586  -115.6482283    -1.0099601
  5.21583614 15.10520022  0.02158361 -0.08947998     0.0043397     0.0043167    -0.0075805    -0.0005987   203.1399435   202.5293058  -113.6194300    -7.9552008
 10.42755595 15.06150259  0.04275559 -0.09384974     0.0041488     0.0042756    -0.0072939    -0.0007778   202.5136575   205.8818172  -101.5589172   -10.3341186
 15.62911528 15.02803163  0.06291153 -0.09719684     0.0038602     0.0041941    -0.0068747    -0.0001662   198.8562499   207.7283312   -86.4087091    -2.2080811
  0.00000000 16.97090194  0.00000000 -0.10290981     0.0043822     0.0043822    -0.0076185     0.0000210   209.9850902   209.9850902  -108.9155624     0.2795201
  2.60935689 16.96691570  0.01093569 -0.10330843     0.0043663     0.0043743    -0.0075637    -0.0002927   212.0866531   212.2983370  -104.9335096    -3.8894796
  5.21831547 16.95390511  0.02183155 -0.10460949     0.0043155     0.0043663    -0.0075140    -0.0006286   209.9950191   211.3439191  -104.3574801    -8.3520244
  7.82472779 16.93573756  0.03247278 -0.10642624     0.0042323     0.0043297    -0.0074002    -0.0006871   207.2890513   209.8782941  -101.8250331    -9.1289836
 10.42992880 16.91583789  0.04299288 -0.10841621     0.0041480     0.0042993    -0.0072863    -0.0007392   204.9782147   208.9991270   -98.8708570    -9.8220888
 13.03239716 16.89833524  0.05323972 -0.11016648     0.0040853     0.0042592    -0.0072121    -0.0004368   200.9882698   205.6079038   -99.2228055    -5.8032974
 15.63419546 16.88831687  0.06341955 -0.11116831     0.0040585     0.0042280    -0.0071343    -0.0000396   201.8873197   206.3898868   -95.5454155    -0.5267721
  0.00000000 18.58785080  0.00000000 -0.11621492     0.0044636     0.0044636    -0.0076676     0.0000003   221.4109358   221.4109358  -100.9555309     0.0035578
  5.22075672 18.57223449  0.02207567 -0.11777655     0.0043615     0.0044151    -0.0075691    -0.0003837   214.4546821   215.8811404  -102.5802363    -5.0974932
 10.43360827 18.53782388  0.04336083 -0.12121761     0.0041415     0.0043361    -0.0073300    -0.0004288   203.7140763   208.8849933  -101.1237692    -5.6977628
 15.63817303 18.51257483  0.06381730 -0.12374252     0.0040575     0.0042545    -0.0071986     0.0000092   198.6918103   203.9271950  -100.4204723     0.1228789
  0.00000000 20.20253585  0.00000000 -0.12974641     0.0046186     0.0046186    -0.0077970    -0.0000067   240.2737443   240.2737443   -89.6491997    -0.0896685
  2.61445256 20.19906446  0.01144526 -0.13009355     0.0045376     0.0045781    -0.0077626    -0.0000201   231.0223870   232.0974045   -95.8375278    -0.2670984
  5.22688239 20.18898772  0.02268824 -0.13110123     0.0044453     0.0045376    -0.0076591    -0.0000876   226.1742284   228.6282862   -95.4820279    -1.1645359
  7.83585536 20.17467831  0.03358554 -0.13253217     0.0042840     0.0044781    -0.0075188    -0.0000624   215.3109152   220.4685775   -98.3298920    -0.8294909
 10.44108142 20.15928667  0.04410814 -0.13407133     0.0041127     0.0044108    -0.0073599    -0.0001082   204.2560140   212.1784867  -100.6106036    -1.4379335
 13.04285220 20.14543160  0.05428522 -0.13545684     0.0040504     0.0043428    -0.0072541    -0.0000098   200.6065962   208.3769234   -99.7930241    -0.1307754
 15.64360182 20.13636605  0.06436018 -0.13636340     0.0040096     0.0042907    -0.0072253     0.0000848   194.2854780   201.7557206  -104.2624379     1.1273604
           1           3          14          12
           3           5          16          14
           5           7          18          16
          12          14          25          23
          14          16          27          25
          16          18          29          27
          23          25          36          34
          25          27          38          36
          27          29          40          38
          34          36          47          45
          36          38          49          47
          38          40          51          49
