"R (in.)","Illi_P_top","GT-NR-Top","GT-Res-Top","Illi_P_mid","GT-NR-mid","GT-Res-mid","Illi_P_bot","GT-NR-bot","GT-Res-bot"
0.122,301.53,22.71,21.67,149.04,14.01,12.88,98.67,9.2,10.52
2.54,298.77,22.47,21.46,149.04,13.96,12.83,99.36,9.2,10.52
6.68,292.56,22.16,21.16,148.35,13.88,12.77,98.67,9.2,10.52
10.31,280.14,20.98,20.19,146.28,13.62,12.56,98.67,9.17,10.54
14.55,260.82,19.6,19.15,143.52,13.26,12.37,97.98,9.15,10.54
19.41,234.6,17.63,17.53,138.69,12.72,12.2,97.29,9.09,10.6
25.48,198.72,15.52,16.39,131.79,12.07,12.2,95.91,9.01,10.68
32.77,159.39,12.7,15.36,122.82,11.05,12.25,94.53,8.88,10.85
40.06,131.79,10.87,15,113.16,10.14,13.24,91.77,8.67,11.23
49.76,98.67,8.58,14.81,99.36,8.78,14.86,91.77,8.34,11.84
61.9,47.82,6.94,15.28,87.63,7.71,19.64,92.46,7.92,13.05
80.09,45.68,5.18,16.79,84.87,6.21,31.31,91.77,7.12,15.95
116.51,45.26,4.49,26.91,67.97,4.89,55.91,90.39,6.11,25.37
139.7,,4.07,41.3,,4.77,60,,5.7,33.6
165.1,,3.48,52.04,,4.84,57.3,,5.36,42.72
201.45,36.29,3.06,54.52,57.41,4.53,55,82.8,5.32,50.68
