              TABLE A-1.  RAW LABORATORY DATA (TTI)

Samples TTIK,  TTIL, and TTIN used for report 
S11= Vertical stress.  S33=Radial pressure (psi)
T in K
E11= Recover&ble vertical strain
E11P= Permanent vertical strain over 200 cycles 
SUCTION (psi)
VWVT  WCON  GAMMA
CYCLE= Cycle number (starting after preconditioning)



DRY BASE COURSE MATERIAL
   
                  CODE1            T      SUCTION         VWVT                     WCON              6AMMAD
                   TTIE          298         1689        0.024                    0.011               133.3
                    S11          S33          E11          E33                     E11P                E33P          CYCLE
                     45           30    0.000E+00   -0.000E+00               -1.750E-05          -0.000E+00            200
                     50           30    1.000E-06   -5.400E-05                3.838E-04          -3.333E-05            400
                    114           30    1.480E-04   -6.300E-05                5.925E-04          -1.000E-04            600
                    135           30    2.030E-04   -5.400E-05                7.512E-04          -1.000E-04            800
                    180           30    3.680E-04   -1.720E-04                1.360E-03          -2.600E-04           1000
                   22.5           15    0.000E+00   -0.000E+00                1.360E-03          -2.600E-04           1200
                     45           15    9.500E-05   -3.200E-05                1.373E-03          -3.267E-04           1400
                     57           15    1.580E-04   -9.400E-05                1.385E-03          -5.721E-04           1600
                   67.5           15    1.990E-04   -7.900E-05                1.407E-03          -6.844E-04           1800
                     90           15    2.880E-04   -9.000E-05                1.396E-03          -7.277E-04           2000
                     15            5    0.000E+00   -0.000E+00                1.409E-03          -7.277E-04           2200
                     19            5    4.300E-05   -2.900E-05                1.415E-03          -7.943E-04           2400
                   22.5            5    6.300E-05   -2.700E-05                1.415E-03          -7.943E-04           2600
                     30            5    1.300E-04   -4.300E-05                1.415E-03          -7.943E-04           2800
                    4.5            1    0.000E+00   -0.000E+00                1.415E-03          -8.091E-04           3000
                      6            1    0.000E+00   -0.000E+00                1.415E-03          -9.434E-04           3200
                      8            1    0.000E+00   -0.000E+00                1.470E-03          -9.741E-04           3400
                     10            1    0.000E+00   -0.000E+00                1.470E-03          -1.042E-03           3600


                  CODE1            T      SUCTION         VWVT                 WCON              6AMMAD
                   TTIJ          298         1723        0.022                  .01              133.27
                    S11          S33          E11          E33                 E11P                E33P          CYCLE
                     90           30    6.102E-05   -7.451E-05            4.750E-04          -1.628E-04            200
                    114           30    1.058E-04   -1.070E-04            6.825E-04          -1.646E-04            400
                    135           30    1.662E-04   -1.380E-04            8.538E-04          -2.474E-04            600
                    180           30    3.358E-04   -1.957E-04            1.385E-03          -4.036E-04            800
                     45           15    7.025E-05   -7.355E-05            1.391E-03          -4.458E-04           1000
                     57           15    1.171E-04   -9.108E-05            1.391E-03          -4.273E-04           1200
                   67.5           15    1.465E-04   -9.640E-05            1.397E-03          -4.758E-04           1400
                     90           15    2.574E-04   -1.307E-05            1.416E-03          -4.777E-04           1600
                     19            5    2.033E-05   -4.053E-05            1.429E-03          -5.258E-04           1500
                   22.5            5    3.767E-05   -4.635E-05            1.429E-03          -5.295E-04           2000
                     30            5    7.835E-05   -5.459E-04            1.478E-03          -5.295E-04           2200
