 TITLE ="GEORGIA TECH TEST PIT GRID                                                      "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  475, E=  140, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001600     0.0000000    -3.4283216    -3.4283216    -5.1424821     0.0000000
  0.69999999  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001600     0.0000019    -3.4285920    -3.4285920    -5.1428877     0.0101984
  1.39999998  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001600     0.0000038    -3.4275813    -3.4275813    -5.1413717     0.0203794
  2.97499990  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001599     0.0000081    -3.4268061    -3.4268061    -5.1402088     0.0431716
  4.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001596     0.0000122    -3.4196984    -3.4196984    -5.1295473     0.0656038
  7.05000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001592     0.0000187    -3.4115327    -3.4115327    -5.1172987     0.1001661
  9.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001582     0.0000248    -3.3893389    -3.3893389    -5.0840080     0.1327429
 13.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001569     0.0000335    -3.3629641    -3.3629641    -5.0444459     0.1792201
 17.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001546     0.0000406    -3.3136514    -3.3136514    -4.9704767     0.2176223
 25.04999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001493     0.0000487    -3.2002024    -3.2002024    -4.8003034     0.2606459
 32.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001447     0.0000512    -3.1012572    -3.1012572    -4.6518855     0.2745351
 42.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001362     0.0000449    -2.9183531    -2.9183531    -4.3775294     0.2405411
 52.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001324     0.0000344    -2.8365984    -2.8365984    -4.2548974     0.1841166
 65.05000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001275     0.0000170    -2.7312627    -2.7312627    -4.0968938     0.0908738
 77.55000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001268     0.0000000    -2.7177139    -2.7177139    -4.0765706     0.0000000
  0.00000000 10.00000000  0.00000000 -0.00171254     0.0000249     0.0000249    -0.0001825    -0.0000002    -2.5748277    -2.5748277    -4.7976621    -0.0010831
  1.39999998 10.00000000  0.00003486 -0.00171163     0.0000249     0.0000249    -0.0001824     0.0000044    -2.5743583    -2.5742902    -4.7950395     0.0234883
  4.55000019 10.00000000  0.00011205 -0.00170279     0.0000241     0.0000246    -0.0001810     0.0000144    -2.5742511    -2.5690800    -4.7719262     0.0771707
  9.55000019 10.00000000  0.00022568 -0.00167069     0.0000213     0.0000236    -0.0001760     0.0000288    -2.5809876    -2.5555962    -4.6941696     0.1545429
 17.54999924 10.00000000  0.00036576 -0.00158574     0.0000133     0.0000208    -0.0001625     0.0000462    -2.6092115    -2.5280956    -4.4925755     0.2474416
 32.54999924 10.00000000  0.00044897 -0.00138893    -0.0000026     0.0000138    -0.0001331     0.0000517    -2.6394502    -2.4637649    -4.0372110     0.2769779
 52.54999924 10.00000000  0.00029515 -0.00120151    -0.0000120     0.0000056    -0.0001079     0.0000301    -2.5786923    -2.3897399    -3.6062799     0.1611893
 77.55000305 10.00000000  0.00000000 -0.00113212    -0.0000115     0.0000000    -0.0000996    -0.0000007    -2.5023570    -2.3796535    -3.4467765    -0.0034892
  0.00000000 20.00000000  0.00000000 -0.00365040     0.0000453     0.0000453    -0.0003136     0.0000004    -2.3062895    -2.3062895    -4.6496061     0.0015224
  0.69999999 20.00000000  0.00003171 -0.00364952     0.0000452     0.0000453    -0.0003136     0.0000062    -2.3078141    -2.3074644    -4.6497950     0.0186383
  1.39999998 20.00000000  0.00006335 -0.00364744     0.0000452     0.0000452    -0.0003133     0.0000126    -2.3055736    -2.3053300    -4.6454757     0.0381754
  2.97499990 20.00000000  0.00013398 -0.00363640     0.0000444     0.0000450    -0.0003122     0.0000260    -2.3103456    -2.3057402    -4.6361935     0.0784801
  4.55000019 20.00000000  0.00020327 -0.00361946     0.0000437     0.0000447    -0.0003099     0.0000395    -2.3051855    -2.2975162    -4.6113376     0.1196965
  7.05000019 20.00000000  0.00030891 -0.00357597     0.0000408     0.0000438    -0.0003052     0.0000589    -2.3168993    -2.2940636    -4.5684599     0.1778937
  9.55000019 20.00000000  0.00040714 -0.00351938     0.0000379     0.0000426    -0.0002982     0.0000773    -2.3095905    -2.2740156    -4.4945386     0.2343571
 13.55000019 20.00000000  0.00054394 -0.00339550     0.0000304     0.0000401    -0.0002849     0.0000995    -2.3286414    -2.2558160    -4.3646612     0.3009345
 17.54999924 20.00000000  0.00065060 -0.00325020     0.0000227     0.0000371    -0.0002691     0.0001167    -2.3352390    -2.2275392    -4.2067313     0.3536587
 25.04999924 20.00000000  0.00076516 -0.00294895     0.0000080     0.0000305    -0.0002336     0.0001214    -2.2993692    -2.1304564    -3.8285903     0.3680131
 32.54999924 20.00000000  0.00077096 -0.00266123    -0.0000060     0.0000237    -0.0002049     0.0001133    -2.3159017    -2.0932977    -3.5390830     0.3421702
 42.54999924 20.00000000  0.00067397 -0.00236268    -0.0000139     0.0000158    -0.0001725     0.0000845    -2.1969261    -1.9739864    -3.1538267     0.2576164
 52.54999924 20.00000000  0.00049324 -0.00215854    -0.0000213     0.0000094    -0.0001528     0.0000541    -2.1857919    -1.9552815    -2.9487982     0.1634511
