 TITLE ="GEORGIA TECH TEST PIT GRID (linear elastic)                                     "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  475, E=  140, F=FEPOINT, ET=QUADRILATERAL
  0.00000000  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001599     0.0000000    -3.4259300    -3.4259300    -5.1388947     0.0000000
  0.69999999  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001599     0.0000019    -3.4261735    -3.4261735    -5.1392600     0.0102822
  1.39999998  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001598     0.0000038    -3.4252053    -3.4252053    -5.1378076     0.0205482
  2.97499990  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001598     0.0000081    -3.4243366    -3.4243366    -5.1365045     0.0435370
  4.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001595     0.0000124    -3.4174400    -3.4174400    -5.1261596     0.0661891
  7.05000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001591     0.0000189    -3.4085572    -3.4085572    -5.1128355     0.1011797
  9.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001580     0.0000251    -3.3859554    -3.3859554    -5.0789328     0.1342870
 13.55000019  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001569     0.0000339    -3.3613486    -3.3613486    -5.0420225     0.1818112
 17.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001546     0.0000413    -3.3119515    -3.3119515    -4.9679270     0.2212883
 25.04999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001496     0.0000499    -3.2053604    -3.2053604    -4.8080403     0.2675631
 32.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001450     0.0000528    -3.1080044    -3.1080044    -4.6620063     0.2827762
 42.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001361     0.0000463    -2.9161141    -2.9161141    -4.3741709     0.2477915
 52.54999924  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001323     0.0000353    -2.8350314    -2.8350314    -4.2525469     0.1891892
 65.05000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001273     0.0000173    -2.7280441    -2.7280441    -4.0920659     0.0925629
 77.55000305  0.00000000  0.00000000  0.00000000     0.0000000     0.0000000    -0.0001265     0.0000000    -2.7107321    -2.7107321    -4.0660979     0.0000000
  0.00000000 10.00000000  0.00000000 -0.00171632     0.0000254     0.0000254    -0.0001834    -0.0000002    -2.5684163    -2.5684163    -4.8055536    -0.0010290
  1.39999998 10.00000000  0.00003552 -0.00171546     0.0000254     0.0000254    -0.0001832     0.0000044    -2.5680044    -2.5679293    -4.8031152     0.0236521
  4.55000019 10.00000000  0.00011426 -0.00170709     0.0000247     0.0000251    -0.0001819     0.0000145    -2.5677688    -2.5629693    -4.7813558     0.0778477
  9.55000019 10.00000000  0.00023087 -0.00167616     0.0000220     0.0000242    -0.0001772     0.0000292    -2.5739493    -2.5501224    -4.7079272     0.1566637
 17.54999924 10.00000000  0.00037672 -0.00159282     0.0000141     0.0000215    -0.0001640     0.0000476    -2.6018471    -2.5227256    -4.5099274     0.2552267
 32.54999924 10.00000000  0.00046605 -0.00139292    -0.0000028     0.0000143    -0.0001335     0.0000543    -2.6433277    -2.4604272    -4.0446631     0.2906459
 52.54999924 10.00000000  0.00030328 -0.00119822    -0.0000126     0.0000058    -0.0001073     0.0000307    -2.5829154    -2.3856244    -3.5975687     0.1643547
 77.55000305 10.00000000  0.00000000 -0.00112909    -0.0000115     0.0000000    -0.0000993    -0.0000006    -2.4986394    -2.3751633    -3.4392685    -0.0031197
  0.00000000 20.00000000  0.00000000 -0.00366776     0.0000468     0.0000468    -0.0003153     0.0000004    -2.2788677    -2.2788677    -4.6458469     0.0013655
  0.69999999 20.00000000  0.00003270 -0.00366694     0.0000467     0.0000467    -0.0003152     0.0000061    -2.2802716    -2.2799451    -4.6459936     0.0183645
  1.39999998 20.00000000  0.00006535 -0.00366499     0.0000466     0.0000467    -0.0003149     0.0000124    -2.2783526    -2.2781086    -4.6421785     0.0375180
  2.97499990 20.00000000  0.00013827 -0.00365468     0.0000459     0.0000465    -0.0003139     0.0000256    -2.2829515    -2.2786272    -4.6336357     0.0774695
  4.55000019 20.00000000  0.00020993 -0.00363875     0.0000452     0.0000461    -0.0003119     0.0000390    -2.2787056    -2.2715082    -4.6112183     0.1181505
  7.05000019 20.00000000  0.00031956 -0.00359797     0.0000424     0.0000453    -0.0003074     0.0000586    -2.2907833    -2.2691590    -4.5719649     0.1768206
  9.55000019 20.00000000  0.00042216 -0.00354440     0.0000397     0.0000442    -0.0003007     0.0000776    -2.2835015    -2.2499631    -4.5017808     0.2350697
 13.55000019 20.00000000  0.00056647 -0.00342383     0.0000323     0.0000418    -0.0002884     0.0001018    -2.3104018    -2.2392838    -4.3852135     0.3077586
 17.54999924 20.00000000  0.00068074 -0.00328013     0.0000244     0.0000388    -0.0002728     0.0001213    -2.3227373    -2.2147910    -4.2324464     0.3676475
