

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                 0000      |      (0.000e+00, -9.856e-02)
                 0001      |      (4.017e-06, -9.856e-02)
                 0002      |      (4.785e-06, -9.854e-02)
                 0003      |      (-6.350e-06, -9.851e-02)
                 0004      |      (-4.965e-05, -9.840e-02)
                 0005      |      (-1.622e-04, -9.816e-02)
                 0006      |      (-2.523e-04, -9.731e-02)
                 0007      |      (-2.101e-04, -9.652e-02)
                 0008      |      (-1.624e-04, -9.631e-02)
                 0009      |      (-1.884e-04, -9.622e-02)
                 0010      |      (-2.308e-04, -9.617e-02)
                 0011      |      (-2.714e-04, -9.613e-02)
                 0012      |      (-3.069e-04, -9.609e-02)
                 0013      |      (-3.373e-04, -9.604e-02)
                 0014      |      (-3.628e-04, -9.600e-02)
                 0015      |      (-3.837e-04, -9.595e-02)
                 0016      |      (-4.011e-04, -9.590e-02)
                 0017      |      (-4.159e-04, -9.585e-02)
                 0018      |      (-4.286e-04, -9.581e-02)
                 0019      |      (-4.396e-04, -9.576e-02)
                 0020      |      (-4.490e-04, -9.571e-02)
                 0021      |      (-4.572e-04, -9.566e-02)
                 0022      |      (-4.643e-04, -9.561e-02)
                 0023      |      (-4.704e-04, -9.556e-02)
                 0024      |      (-4.755e-04, -9.551e-02)
                 0025      |      (-4.818e-04, -9.543e-02)
                 0026      |      (-4.864e-04, -9.536e-02)
                 0027      |      (-4.895e-04, -9.528e-02)
                 0028      |      (-4.914e-04, -9.521e-02)
                 0029      |      (-4.920e-04, -9.513e-02)
                 0030      |      (-4.916e-04, -9.506e-02)
                 0031      |      (-4.902e-04, -9.498e-02)
                 0032      |      (-4.880e-04, -9.491e-02)
                 0033      |      (-4.810e-04, -9.477e-02)
                 0034      |      (-4.715e-04, -9.463e-02)
                 0035      |      (-4.596e-04, -9.449e-02)
                 0036      |      (-4.460e-04, -9.436e-02)
                 0037      |      (-4.144e-04, -9.411e-02)
                 0038      |      (-3.789e-04, -9.388e-02)
                 0039      |      (-3.408e-04, -9.367e-02)
                 0040      |      (-3.013e-04, -9.349e-02)
                 0041      |      (-2.613e-04, -9.333e-02)
                 0042      |      (-2.212e-04, -9.319e-02)
                 0043      |      (-1.817e-04, -9.307e-02)
                 0044      |      (-1.429e-04, -9.298e-02)
                 0045      |      (-1.052e-04, -9.291e-02)
                 0046      |      (-6.866e-05, -9.286e-02)
                 0047      |      (-3.362e-05, -9.283e-02)
                 0048      |      (0.000e+00, -9.282e-02)
                 0049      |      (0.000e+00, -9.836e-02)
                 0050      |      (1.783e-05, -9.834e-02)
                 0051      |      (8.301e-06, -9.822e-02)
                 0052      |      (3.978e-05, -9.723e-02)
                 0053      |      (-1.227e-04, -9.631e-02)
                 0054      |      (-2.117e-04, -9.619e-02)
                 0055      |      (-2.907e-04, -9.610e-02)
                 0056      |      (-3.450e-04, -9.601e-02)
                 0057      |      (-3.826e-04, -9.591e-02)
                 0058      |      (-4.096e-04, -9.581e-02)
                 0059      |      (-4.297e-04, -9.571e-02)
                 0060      |      (-4.447e-04, -9.561e-02)
                 0061      |      (-4.558e-04, -9.551e-02)
                 0062      |      (-4.665e-04, -9.536e-02)
                 0063      |      (-4.716e-04, -9.521e-02)
                 0064      |      (-4.720e-04, -9.506e-02)
                 0065      |      (-4.686e-04, -9.491e-02)
                 0066      |      (-4.530e-04, -9.463e-02)
                 0067      |      (-4.287e-04, -9.436e-02)
                 0068      |      (-3.644e-04, -9.388e-02)
                 0069      |      (-2.899e-04, -9.349e-02)
                 0070      |      (-2.128e-04, -9.319e-02)
                 0071      |      (-1.375e-04, -9.298e-02)
                 0072      |      (-6.608e-05, -9.286e-02)
                 0073      |      (0.000e+00, -9.282e-02)
                 0074      |      (0.000e+00, -9.814e-02)
                 0075      |      (1.531e-05, -9.814e-02)
                 0076      |      (2.875e-05, -9.813e-02)
                 0077      |      (4.982e-05, -9.810e-02)
                 0078      |      (8.319e-05, -9.801e-02)
                 0079      |      (1.615e-04, -9.774e-02)
                 0080      |      (1.842e-04, -9.714e-02)
                 0081      |      (6.352e-05, -9.656e-02)
                 0082      |      (-6.506e-05, -9.633e-02)
                 0083      |      (-1.401e-04, -9.625e-02)
                 0084      |      (-1.973e-04, -9.620e-02)
                 0085      |      (-2.404e-04, -9.616e-02)
                 0086      |      (-2.761e-04, -9.611e-02)
                 0087      |      (-3.054e-04, -9.607e-02)
                 0088      |      (-3.291e-04, -9.602e-02)
                 0089      |      (-3.487e-04, -9.597e-02)
                 0090      |      (-3.653e-04, -9.592e-02)
                 0091      |      (-3.794e-04, -9.587e-02)
                 0092      |      (-3.915e-04, -9.582e-02)
                 0093      |      (-4.020e-04, -9.577e-02)
                 0094      |      (-4.111e-04, -9.572e-02)
                 0095      |      (-4.189e-04, -9.567e-02)
                 0096      |      (-4.257e-04, -9.562e-02)
                 0097      |      (-4.316e-04, -9.557e-02)
                 0098      |      (-4.365e-04, -9.552e-02)
                 0099      |      (-4.426e-04, -9.544e-02)
                 0100      |      (-4.471e-04, -9.537e-02)
                 0101      |      (-4.502e-04, -9.529e-02)
                 0102      |      (-4.521e-04, -9.521e-02)
                 0103      |      (-4.529e-04, -9.514e-02)
