

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  000      |      (0.000e+00, -4.413e-03)
                  001      |      (-6.459e-05, -4.402e-03)
                  002      |      (-1.292e-04, -4.367e-03)
                  003      |      (-1.939e-04, -4.309e-03)
                  004      |      (-2.581e-04, -4.225e-03)
                  005      |      (-3.235e-04, -4.112e-03)
                  006      |      (-3.887e-04, -3.966e-03)
                  007      |      (-4.601e-04, -3.784e-03)
                  008      |      (-5.239e-04, -3.540e-03)
                  009      |      (-5.680e-04, -3.218e-03)
                  010      |      (-5.867e-04, -2.702e-03)
                  011      |      (-4.777e-04, -1.638e-03)
                  012      |      (-3.387e-04, -1.213e-03)
                  013      |      (-2.488e-04, -8.134e-04)
                  014      |      (-1.801e-04, -6.078e-04)
                  015      |      (-1.210e-04, -4.069e-04)
                  016      |      (-7.638e-05, -3.049e-04)
                  017      |      (-3.350e-05, -2.191e-04)
                  018      |      (0.000e+00, -1.979e-04)
                  019      |      (0.000e+00, -4.273e-03)
                  020      |      (-8.325e-05, -4.227e-03)
                  021      |      (-1.623e-04, -4.083e-03)
                  022      |      (-2.302e-04, -3.825e-03)
                  023      |      (-2.655e-04, -3.392e-03)
                  024      |      (-2.765e-04, -2.657e-03)
                  025      |      (-2.710e-04, -1.209e-03)
                  026      |      (-1.585e-04, -6.075e-04)
                  027      |      (-7.099e-05, -3.044e-04)
                  028      |      (0.000e+00, -1.973e-04)
                  029      |      (0.000e+00, -4.115e-03)
                  030      |      (-2.080e-05, -4.103e-03)
                  031      |      (-4.060e-05, -4.068e-03)
                  032      |      (-5.901e-05, -4.008e-03)
                  033      |      (-7.434e-05, -3.922e-03)
                  034      |      (-8.545e-05, -3.807e-03)
                  035      |      (-8.965e-05, -3.657e-03)
                  036      |      (-8.940e-05, -3.470e-03)
