

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  000      |      (0.000e+00, -5.974e-04)
                  001      |      (-4.176e-06, -5.968e-04)
                  002      |      (-8.310e-06, -5.948e-04)
                  003      |      (-1.236e-05, -5.916e-04)
                  004      |      (-1.629e-05, -5.871e-04)
                  005      |      (-2.007e-05, -5.814e-04)
                  006      |      (-2.366e-05, -5.745e-04)
                  007      |      (-2.707e-05, -5.665e-04)
                  008      |      (-3.019e-05, -5.572e-04)
                  009      |      (-3.294e-05, -5.466e-04)
                  010      |      (-3.531e-05, -5.342e-04)
                  011      |      (-4.082e-05, -4.871e-04)
                  012      |      (-4.302e-05, -4.403e-04)
                  013      |      (-4.190e-05, -3.588e-04)
                  014      |      (-3.802e-05, -2.843e-04)
                  015      |      (-2.900e-05, -1.754e-04)
                  016      |      (-2.020e-05, -9.603e-05)
                  017      |      (-9.584e-06, -1.168e-05)
                  018      |      (0.000e+00, 1.511e-05)
                  019      |      (0.000e+00, -6.002e-04)
                  020      |      (-5.850e-06, -5.976e-04)
                  021      |      (-1.145e-05, -5.897e-04)
                  022      |      (-1.653e-05, -5.769e-04)
                  023      |      (-2.082e-05, -5.592e-04)
                  024      |      (-2.426e-05, -5.364e-04)
                  025      |      (-3.129e-05, -4.415e-04)
                  026      |      (-2.802e-05, -2.845e-04)
                  027      |      (-1.495e-05, -9.592e-05)
                  028      |      (0.000e+00, 1.531e-05)
                  029      |      (0.000e+00, -6.018e-04)
                  030      |      (-1.815e-06, -6.012e-04)
                  031      |      (-3.604e-06, -5.992e-04)
                  032      |      (-5.349e-06, -5.958e-04)
                  033      |      (-7.021e-06, -5.912e-04)
                  034      |      (-8.599e-06, -5.853e-04)
                  035      |      (-1.005e-05, -5.781e-04)
                  036      |      (-1.137e-05, -5.697e-04)
                  037      |      (-1.254e-05, -5.602e-04)
                  038      |      (-1.354e-05, -5.495e-04)
                  039      |      (-1.462e-05, -5.378e-04)
                  040      |      (-1.831e-05, -4.903e-04)
                  041      |      (-1.998e-05, -4.423e-04)
                  042      |      (-1.986e-05, -3.598e-04)
                  043      |      (-1.815e-05, -2.847e-04)
                  044      |      (-1.385e-05, -1.754e-04)
                  045      |      (-9.700e-06, -9.586e-05)
                  046      |      (-4.581e-06, -1.142e-05)
                  047      |      (0.000e+00, 1.545e-05)
                  048      |      (0.000e+00, -6.024e-04)
                  049      |      (-1.511e-06, -5.997e-04)
                  050      |      (-2.910e-06, -5.916e-04)
                  051      |      (-4.091e-06, -5.784e-04)
                  052      |      (-5.010e-06, -5.604e-04)
                  053      |      (-5.940e-06, -5.385e-04)
                  054      |      (-9.081e-06, -4.428e-04)
                  055      |      (-8.387e-06, -2.848e-04)
                  056      |      (-4.424e-06, -9.581e-05)
                  057      |      (0.000e+00, 1.552e-05)
                  058      |      (0.000e+00, -6.020e-04)
                  059      |      (2.463e-07, -6.013e-04)
                  060      |      (4.963e-07, -5.992e-04)
                  061      |      (7.500e-07, -5.959e-04)
                  062      |      (1.014e-06, -5.911e-04)
                  063      |      (1.290e-06, -5.851e-04)
                  064      |      (1.573e-06, -5.779e-04)
                  065      |      (1.847e-06, -5.695e-04)
                  066      |      (2.084e-06, -5.600e-04)
                  067      |      (2.245e-06, -5.496e-04)
                  068      |      (2.320e-06, -5.384e-04)
                  069      |      (2.024e-06, -4.914e-04)
                  070      |      (1.649e-06, -4.429e-04)
                  071      |      (1.461e-06, -3.601e-04)
                  072      |      (1.340e-06, -2.848e-04)
                  073      |      (1.119e-06, -1.753e-04)
                  074      |      (8.518e-07, -9.580e-05)
                  075      |      (3.820e-07, -1.134e-05)
                  076      |      (0.000e+00, 1.555e-05)
                  077      |      (0.000e+00, -6.007e-04)
                  078      |      (2.488e-06, -5.979e-04)
                  079      |      (4.904e-06, -5.898e-04)
                  080      |      (7.157e-06, -5.767e-04)
                  081      |      (9.103e-06, -5.589e-04)
                  082      |      (1.054e-05, -5.377e-04)
                  083      |      (1.238e-05, -4.427e-04)
                  084      |      (1.107e-05, -2.847e-04)
                  085      |      (6.128e-06, -9.582e-05)
                  086      |      (0.000e+00, 1.551e-05)
                  087      |      (0.000e+00, -5.984e-04)
                  088      |      (2.285e-06, -5.977e-04)
                  089      |      (4.546e-06, -5.957e-04)
                  090      |      (6.765e-06, -5.923e-04)
                  091      |      (8.916e-06, -5.877e-04)
                  092      |      (1.098e-05, -5.817e-04)
                  093      |      (1.293e-05, -5.746e-04)
                  094      |      (1.473e-05, -5.664e-04)
                  095      |      (1.636e-05, -5.572e-04)
                  096      |      (1.779e-05, -5.471e-04)
                  097      |      (1.903e-05, -5.362e-04)
                  098      |      (2.215e-05, -4.901e-04)
                  099      |      (2.326e-05, -4.421e-04)
                  100      |      (2.279e-05, -3.596e-04)
                  101      |      (2.084e-05, -2.846e-04)
                  102      |      (1.610e-05, -1.753e-04)
                  103      |      (1.141e-05, -9.587e-05)
                  104      |      (5.345e-06, -1.145e-05)
                  105      |      (0.000e+00, 1.541e-05)
                  106      |      (0.000e+00, -5.951e-04)
                  107      |      (6.753e-06, -5.925e-04)
                  108      |      (1.322e-05, -5.846e-04)
                  109      |      (1.913e-05, -5.717e-04)
                  110      |      (2.418e-05, -5.546e-04)
                  111      |      (2.815e-05, -5.341e-04)
                  112      |      (3.455e-05, -4.411e-04)
                  113      |      (3.072e-05, -2.843e-04)
                  114      |      (1.666e-05, -9.594e-05)
                  115      |      (0.000e+00, 1.526e-05)
                  116      |      (0.000e+00, -5.907e-04)
                  117      |      (4.624e-06, -5.900e-04)
                  118      |      (9.197e-06, -5.880e-04)
                  119      |      (1.368e-05, -5.848e-04)
                  120      |      (1.801e-05, -5.803e-04)
                  121      |      (2.214e-05, -5.747e-04)
                  122      |      (2.603e-05, -5.678e-04)
                  123      |      (2.961e-05, -5.600e-04)
                  124      |      (3.287e-05, -5.511e-04)
                  125      |      (3.578e-05, -5.415e-04)
                  126      |      (3.829e-05, -5.312e-04)
                  127      |      (4.416e-05, -4.865e-04)
                  128      |      (4.632e-05, -4.398e-04)
                  129      |      (4.484e-05, -3.584e-04)
                  130      |      (4.073e-05, -2.841e-04)
                  131      |      (3.126e-05, -1.753e-04)
                  132      |      (2.192e-05, -9.604e-05)
                  133      |      (1.035e-05, -1.174e-05)
                  134      |      (0.000e+00, 1.505e-05)
                  135      |      (0.000e+00, -5.744e-04)
                  136      |      (1.062e-05, -5.719e-04)
                  137      |      (2.084e-05, -5.647e-04)
                  138      |      (3.026e-05, -5.529e-04)
                  139      |      (3.850e-05, -5.372e-04)
                  140      |      (4.524e-05, -5.186e-04)
                  141      |      (5.873e-05, -4.313e-04)
                  142      |      (5.833e-05, -2.792e-04)
                  143      |      (3.866e-05, -9.423e-05)
                  144      |      (0.000e+00, 1.477e-05)
                  145      |      (0.000e+00, -5.569e-04)
                  146      |      (5.925e-06, -5.563e-04)
                  147      |      (1.180e-05, -5.546e-04)
                  148      |      (1.757e-05, -5.518e-04)
                  149      |      (2.318e-05, -5.478e-04)
                  150      |      (2.860e-05, -5.428e-04)
                  151      |      (3.377e-05, -5.368e-04)
                  152      |      (3.864e-05, -5.299e-04)
                  153      |      (4.316e-05, -5.222e-04)
                  154      |      (4.734e-05, -5.137e-04)
                  155      |      (5.115e-05, -5.047e-04)
                  156      |      (6.265e-05, -4.645e-04)
                  157      |      (6.950e-05, -4.216e-04)
                  158      |      (7.449e-05, -3.448e-04)
                  159      |      (7.394e-05, -2.737e-04)
                  160      |      (6.607e-05, -1.693e-04)
                  161      |      (5.366e-05, -9.241e-05)
                  162      |      (2.896e-05, -1.174e-05)
                  163      |      (0.000e+00, 1.401e-05)
                  164      |      (0.000e+00, -5.384e-04)
                  165      |      (1.275e-05, -5.363e-04)
                  166      |      (2.509e-05, -5.299e-04)
                  167      |      (3.665e-05, -5.197e-04)
                  168      |      (4.708e-05, -5.060e-04)
                  169      |      (5.616e-05, -4.897e-04)
                  170      |      (7.877e-05, -4.108e-04)
                  171      |      (8.771e-05, -2.676e-04)
                  172      |      (6.711e-05, -9.056e-05)
                  173      |      (0.000e+00, 1.295e-05)
                  174      |      (0.000e+00, -5.192e-04)
