

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                 0000      |      (0.000e+00, -2.840e-03)
                 0001      |      (-8.610e-06, -2.839e-03)
                 0002      |      (-1.720e-05, -2.838e-03)
                 0003      |      (-2.578e-05, -2.836e-03)
                 0004      |      (-3.432e-05, -2.833e-03)
                 0005      |      (-4.282e-05, -2.829e-03)
                 0006      |      (-5.126e-05, -2.824e-03)
                 0007      |      (-5.964e-05, -2.818e-03)
                 0008      |      (-6.794e-05, -2.811e-03)
                 0009      |      (-7.616e-05, -2.803e-03)
                 0010      |      (-8.427e-05, -2.795e-03)
                 0011      |      (-9.228e-05, -2.785e-03)
                 0012      |      (-1.002e-04, -2.775e-03)
                 0013      |      (-1.079e-04, -2.764e-03)
                 0014      |      (-1.156e-04, -2.752e-03)
                 0015      |      (-1.231e-04, -2.739e-03)
                 0016      |      (-1.304e-04, -2.725e-03)
                 0017      |      (-1.376e-04, -2.710e-03)
                 0018      |      (-1.446e-04, -2.695e-03)
                 0019      |      (-1.514e-04, -2.678e-03)
                 0020      |      (-1.581e-04, -2.661e-03)
                 0021      |      (-1.646e-04, -2.642e-03)
                 0022      |      (-1.709e-04, -2.623e-03)
                 0023      |      (-1.769e-04, -2.603e-03)
                 0024      |      (-1.828e-04, -2.582e-03)
                 0025      |      (-1.885e-04, -2.560e-03)
                 0026      |      (-1.940e-04, -2.536e-03)
                 0027      |      (-1.994e-04, -2.511e-03)
                 0028      |      (-2.045e-04, -2.484e-03)
                 0029      |      (-2.092e-04, -2.455e-03)
                 0030      |      (-2.129e-04, -2.419e-03)
                 0031      |      (-2.171e-04, -2.336e-03)
                 0032      |      (-2.186e-04, -2.268e-03)
                 0033      |      (-2.201e-04, -2.196e-03)
                 0034      |      (-2.205e-04, -2.128e-03)
                 0035      |      (-2.195e-04, -2.053e-03)
                 0036      |      (-2.173e-04, -1.981e-03)
                 0037      |      (-2.136e-04, -1.902e-03)
                 0038      |      (-2.089e-04, -1.827e-03)
                 0039      |      (-2.026e-04, -1.744e-03)
                 0040      |      (-1.958e-04, -1.667e-03)
                 0041      |      (-1.878e-04, -1.582e-03)
                 0042      |      (-1.797e-04, -1.504e-03)
                 0043      |      (-1.707e-04, -1.419e-03)
                 0044      |      (-1.620e-04, -1.341e-03)
                 0045      |      (-1.525e-04, -1.257e-03)
                 0046      |      (-1.435e-04, -1.180e-03)
                 0047      |      (-1.337e-04, -1.098e-03)
                 0048      |      (-1.243e-04, -1.023e-03)
                 0049      |      (-1.138e-04, -9.448e-04)
                 0050      |      (-1.037e-04, -8.747e-04)
                 0051      |      (-9.225e-05, -8.020e-04)
                 0052      |      (-8.106e-05, -7.390e-04)
                 0053      |      (-6.839e-05, -6.762e-04)
                 0054      |      (-5.603e-05, -6.249e-04)
                 0055      |      (-4.214e-05, -5.778e-04)
                 0056      |      (-2.875e-05, -5.443e-04)
                 0057      |      (-1.396e-05, -5.207e-04)
                 0058      |      (0.000e+00, -5.131e-04)
                 0059      |      (0.000e+00, -2.843e-03)
                 0060      |      (-1.577e-05, -2.841e-03)
                 0061      |      (-3.146e-05, -2.836e-03)
                 0062      |      (-4.698e-05, -2.826e-03)
                 0063      |      (-6.224e-05, -2.814e-03)
                 0064      |      (-7.718e-05, -2.797e-03)
                 0065      |      (-9.170e-05, -2.777e-03)
                 0066      |      (-1.057e-04, -2.754e-03)
                 0067      |      (-1.192e-04, -2.727e-03)
                 0068      |      (-1.320e-04, -2.696e-03)
                 0069      |      (-1.441e-04, -2.663e-03)
                 0070      |      (-1.554e-04, -2.625e-03)
                 0071      |      (-1.657e-04, -2.583e-03)
                 0072      |      (-1.750e-04, -2.537e-03)
                 0073      |      (-1.826e-04, -2.485e-03)
                 0074      |      (-1.880e-04, -2.421e-03)
                 0075      |      (-2.001e-04, -2.271e-03)
                 0076      |      (-2.040e-04, -2.130e-03)
                 0077      |      (-2.025e-04, -1.983e-03)
                 0078      |      (-1.957e-04, -1.828e-03)
                 0079      |      (-1.844e-04, -1.667e-03)
                 0080      |      (-1.699e-04, -1.504e-03)
                 0081      |      (-1.538e-04, -1.341e-03)
                 0082      |      (-1.367e-04, -1.180e-03)
                 0083      |      (-1.186e-04, -1.024e-03)
                 0084      |      (-9.922e-05, -8.746e-04)
                 0085      |      (-7.772e-05, -7.389e-04)
                 0086      |      (-5.379e-05, -6.247e-04)
                 0087      |      (-2.763e-05, -5.441e-04)
                 0088      |      (0.000e+00, -5.129e-04)
                 0089      |      (0.000e+00, -2.845e-03)
                 0090      |      (-7.199e-06, -2.845e-03)
                 0091      |      (-1.438e-05, -2.843e-03)
                 0092      |      (-2.155e-05, -2.841e-03)
                 0093      |      (-2.869e-05, -2.838e-03)
                 0094      |      (-3.578e-05, -2.834e-03)
                 0095      |      (-4.283e-05, -2.829e-03)
                 0096      |      (-4.982e-05, -2.823e-03)
                 0097      |      (-5.673e-05, -2.816e-03)
                 0098      |      (-6.356e-05, -2.808e-03)
                 0099      |      (-7.030e-05, -2.799e-03)
                 0100      |      (-7.694e-05, -2.790e-03)
                 0101      |      (-8.348e-05, -2.779e-03)
                 0102      |      (-8.989e-05, -2.768e-03)
                 0103      |      (-9.616e-05, -2.756e-03)
                 0104      |      (-1.023e-04, -2.743e-03)
                 0105      |      (-1.083e-04, -2.729e-03)
                 0106      |      (-1.141e-04, -2.714e-03)
                 0107      |      (-1.198e-04, -2.698e-03)
                 0108      |      (-1.252e-04, -2.681e-03)
                 0109      |      (-1.305e-04, -2.664e-03)
                 0110      |      (-1.355e-04, -2.645e-03)
                 0111      |      (-1.404e-04, -2.626e-03)
                 0112      |      (-1.449e-04, -2.605e-03)
                 0113      |      (-1.492e-04, -2.584e-03)
                 0114      |      (-1.531e-04, -2.561e-03)
                 0115      |      (-1.567e-04, -2.538e-03)
                 0116      |      (-1.598e-04, -2.512e-03)
                 0117      |      (-1.624e-04, -2.485e-03)
                 0118      |      (-1.643e-04, -2.455e-03)
                 0119      |      (-1.669e-04, -2.423e-03)
                 0120      |      (-1.755e-04, -2.343e-03)
                 0121      |      (-1.817e-04, -2.274e-03)
                 0122      |      (-1.857e-04, -2.201e-03)
                 0123      |      (-1.879e-04, -2.133e-03)
                 0124      |      (-1.886e-04, -2.056e-03)
                 0125      |      (-1.880e-04, -1.984e-03)
                 0126      |      (-1.859e-04, -1.904e-03)
                 0127      |      (-1.827e-04, -1.829e-03)
                 0128      |      (-1.781e-04, -1.746e-03)
                 0129      |      (-1.730e-04, -1.668e-03)
                 0130      |      (-1.666e-04, -1.583e-03)
