

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  00       |      (0.000e+00, 0.000e+00)
                  01       |      (0.000e+00, 0.000e+00)
                  02       |      (0.000e+00, 0.000e+00)
                  03       |      (0.000e+00, 0.000e+00)
                  04       |      (0.000e+00, 0.000e+00)
                  05       |      (0.000e+00, 0.000e+00)
                  06       |      (0.000e+00, 0.000e+00)
                  07       |      (0.000e+00, 3.621e-03)
                  08       |      (2.439e-19, 3.621e-03)
                  09       |      (4.879e-19, 3.621e-03)
                  10       |      (0.000e+00, 3.621e-03)
                  11       |      (0.000e+00, 7.243e-03)
                  12       |      (-1.355e-19, 7.243e-03)
                  13       |      (1.274e-18, 7.243e-03)
                  14       |      (2.819e-18, 7.243e-03)
                  15       |      (3.795e-18, 7.243e-03)
                  16       |      (2.277e-18, 7.243e-03)
                  17       |      (0.000e+00, 7.243e-03)
                  18       |      (0.000e+00, 1.086e-02)
                  19       |      (1.301e-18, 1.086e-02)
                  20       |      (4.581e-18, 1.086e-02)
                  21       |      (0.000e+00, 1.086e-02)
                  22       |      (0.000e+00, 1.449e-02)
                  23       |      (-7.060e-19, 1.449e-02)
                  24       |      (5.649e-18, 1.449e-02)
                  25       |      (6.632e-18, 1.449e-02)
                  26       |      (3.029e-18, 1.449e-02)
                  27       |      (2.812e-18, 1.449e-02)
                  28       |      (0.000e+00, 1.449e-02)
                  29       |      (0.000e+00, 1.811e-02)
                  30       |      (3.578e-18, 1.811e-02)
                  31       |      (1.943e-18, 1.811e-02)
                  32       |      (0.000e+00, 1.811e-02)
                  33       |      (0.000e+00, 2.173e-02)
                  34       |      (1.928e-19, 2.173e-02)
                  35       |      (-2.660e-18, 2.173e-02)
                  36       |      (-5.888e-18, 2.173e-02)
                  37       |      (-3.030e-18, 2.173e-02)
                  38       |      (-4.283e-18, 2.173e-02)
                  39       |      (0.000e+00, 2.173e-02)
            --------------------------------------------------


%-------------------------------------------------------------------------------------------------------%
                                         FEM Program Standard Output
%-------------------------------------------------------------------------------------------------------%

                                            Averaged Nodal Strain (no unit): 

              Nodal Index  |                     Strain (R, TH, Z, RZ) 
            --------------------------------------------------------------------------------------
                  00       |      (1.203706e-34, 6.018531e-36, 1.207143e-03, 8.432684e-20)
                  01       |      (-2.046301e-34, -4.814825e-35, 1.207143e-03, -7.687054e-20)
                  02       |      (7.071774e-35, 1.484324e-21, 1.207143e-03, 1.291770e-19)
                  03       |      (-4.212972e-35, -1.979099e-21, 1.207143e-03, -2.198459e-19)
                  04       |      (-1.128475e-36, -5.952109e-22, 1.207143e-03, -2.260229e-19)
                  05       |      (6.018531e-35, 2.772714e-21, 1.207143e-03, -2.778632e-19)
                  06       |      (-9.027797e-35, -4.159071e-21, 1.207143e-03, 2.826844e-19)
                  07       |      (-2.168404e-19, -2.168404e-19, 1.207143e-03, -1.761100e-19)
                  08       |      (2.168404e-19, 4.117387e-20, 1.207143e-03, -2.619426e-19)
                  09       |      (-4.517509e-21, 4.072360e-20, 1.207143e-03, 7.019625e-19)
                  10       |      (-2.078054e-19, 2.209877e-21, 1.207143e-03, -1.887517e-18)
