

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  00       |      (0.000e+00, 0.000e+00)
                  01       |      (0.000e+00, 0.000e+00)
                  02       |      (0.000e+00, 0.000e+00)
                  03       |      (0.000e+00, 0.000e+00)
                  04       |      (0.000e+00, 0.000e+00)
                  05       |      (0.000e+00, 0.000e+00)
                  06       |      (0.000e+00, 0.000e+00)
                  07       |      (0.000e+00, -3.476e-07)
                  08       |      (-5.873e-23, -3.476e-07)
                  09       |      (-1.390e-22, -3.476e-07)
                  10       |      (0.000e+00, -3.476e-07)
                  11       |      (0.000e+00, -6.319e-07)
                  12       |      (-8.768e-23, -6.319e-07)
                  13       |      (-2.275e-22, -6.319e-07)
                  14       |      (-3.970e-22, -6.319e-07)
                  15       |      (-3.391e-22, -6.319e-07)
                  16       |      (-1.812e-22, -6.319e-07)
                  17       |      (0.000e+00, -6.319e-07)
                  18       |      (0.000e+00, -8.531e-07)
                  19       |      (-2.250e-22, -8.531e-07)
                  20       |      (-3.176e-22, -8.531e-07)
                  21       |      (0.000e+00, -8.531e-07)
                  22       |      (0.000e+00, -1.011e-06)
                  23       |      (1.042e-22, -1.011e-06)
                  24       |      (-2.007e-23, -1.011e-06)
                  25       |      (-9.420e-24, -1.011e-06)
                  26       |      (-6.016e-23, -1.011e-06)
                  27       |      (-4.219e-23, -1.011e-06)
                  28       |      (0.000e+00, -1.011e-06)
                  29       |      (0.000e+00, -1.106e-06)
                  30       |      (5.039e-23, -1.106e-06)
                  31       |      (7.216e-23, -1.106e-06)
                  32       |      (0.000e+00, -1.106e-06)
                  33       |      (0.000e+00, -1.137e-06)
                  34       |      (-8.484e-23, -1.137e-06)
                  35       |      (7.656e-23, -1.137e-06)
                  36       |      (1.288e-22, -1.137e-06)
                  37       |      (7.848e-23, -1.137e-06)
                  38       |      (2.068e-23, -1.137e-06)
                  39       |      (0.000e+00, -1.137e-06)
            --------------------------------------------------


%-------------------------------------------------------------------------------------------------------%
                                         FEM Program Standard Output
%-------------------------------------------------------------------------------------------------------%

                                            Averaged Nodal Strain (no unit): 

              Nodal Index  |                     Strain (R, TH, Z, RZ) 
            --------------------------------------------------------------------------------------
                  00       |      (-1.469368e-38, -8.081524e-39, -1.263867e-07, 2.062762e-24)
                  01       |      (8.816208e-39, 4.408104e-39, -1.263867e-07, 1.278582e-24)
                  02       |      (2.755065e-39, 1.890699e-25, -1.263867e-07, -5.541027e-24)
                  03       |      (0.000000e+00, -2.520931e-25, -1.263867e-07, -3.496061e-23)
                  04       |      (1.056108e-38, 2.342258e-25, -1.263867e-07, -3.876111e-23)
                  05       |      (-5.877472e-39, -6.020790e-26, -1.263867e-07, -2.951612e-23)
                  06       |      (6.244814e-39, 9.031185e-26, -1.263867e-07, 3.078355e-23)
                  07       |      (-1.102907e-24, -1.102907e-24, -1.053223e-07, 1.739258e-22)
                  08       |      (-3.487945e-23, -1.054458e-23, -1.053223e-07, -3.210216e-23)
                  09       |      (2.192029e-23, -1.138359e-23, -1.053223e-07, -7.234939e-23)
                  10       |      (2.702123e-23, -1.108332e-25, -1.053223e-07, 9.343137e-23)
