

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  00       |      (0.000e+00, 0.000e+00)
                  01       |      (0.000e+00, 0.000e+00)
                  02       |      (0.000e+00, 0.000e+00)
                  03       |      (0.000e+00, 0.000e+00)
                  04       |      (0.000e+00, 0.000e+00)
                  05       |      (0.000e+00, 0.000e+00)
                  06       |      (0.000e+00, 0.000e+00)
                  07       |      (0.000e+00, -9.953e-05)
                  08       |      (3.709e-05, -7.689e-05)
                  09       |      (2.957e-05, -3.718e-05)
                  10       |      (0.000e+00, -2.171e-05)
                  11       |      (0.000e+00, -2.339e-04)
                  12       |      (2.812e-05, -2.141e-04)
                  13       |      (6.496e-05, -1.753e-04)
                  14       |      (6.317e-05, -1.114e-04)
                  15       |      (4.745e-05, -6.810e-05)
                  16       |      (2.454e-05, -4.119e-05)
                  17       |      (0.000e+00, -3.234e-05)
                  18       |      (0.000e+00, -3.759e-04)
                  19       |      (9.289e-05, -2.800e-04)
                  20       |      (5.719e-05, -9.128e-05)
                  21       |      (0.000e+00, -3.538e-05)
                  22       |      (0.000e+00, -6.903e-04)
                  23       |      (1.282e-04, -6.653e-04)
                  24       |      (9.883e-05, -3.839e-04)
                  25       |      (8.743e-05, -2.261e-04)
                  26       |      (5.600e-05, -1.043e-04)
                  27       |      (2.344e-05, -4.863e-05)
                  28       |      (0.000e+00, -3.279e-05)
                  29       |      (0.000e+00, -1.961e-03)
                  30       |      (8.830e-05, -5.835e-04)
                  31       |      (1.183e-05, -1.057e-04)
                  32       |      (0.000e+00, -2.864e-05)
                  33       |      (0.000e+00, -3.454e-03)
                  34       |      (-9.383e-05, -1.309e-03)
                  35       |      (-1.789e-04, -7.191e-04)
                  36       |      (-1.341e-04, -2.615e-04)
                  37       |      (-6.676e-05, -1.151e-04)
                  38       |      (-3.113e-05, -5.023e-05)
                  39       |      (0.000e+00, -3.268e-05)
            --------------------------------------------------


%-------------------------------------------------------------------------------------------------------%
                                         FEM Program Standard Output
%-------------------------------------------------------------------------------------------------------%

                                            Averaged Nodal Strain (no unit): 

              Nodal Index  |                     Strain (R, TH, Z, RZ) 
            --------------------------------------------------------------------------------------
                  00       |      (5.082198e-21, 2.964615e-21, -2.737433e-05, 5.929231e-21)
                  01       |      (-2.117582e-21, -1.905824e-21, -2.630645e-05, 6.223333e-06)
                  02       |      (7.146840e-22, 8.024557e-09, -2.205100e-05, 1.389854e-05)
                  03       |      (-1.058791e-22, -1.069941e-08, -1.603067e-05, 1.401417e-05)
                  04       |      (-2.686683e-21, 1.665222e-08, -1.343465e-05, 1.180654e-05)
                  05       |      (1.905824e-21, -1.150355e-08, -9.754224e-06, 6.038980e-06)
                  06       |      (1.402898e-21, 1.725533e-08, -9.082933e-06, 1.581569e-21)
                  07       |      (4.729232e-06, 4.729232e-06, -3.898098e-05, 5.862596e-07)
                  08       |      (4.351901e-06, 6.153639e-06, -2.920897e-05, 1.932811e-05)
                  09       |      (-4.116476e-06, 2.453505e-06, -1.135041e-05, 1.229891e-05)
                  10       |      (-5.200082e-06, 2.876204e-09, -5.389986e-06, -4.311011e-07)
