

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  00       |      (0.000e+00, 0.000e+00)
                  01       |      (0.000e+00, 0.000e+00)
                  02       |      (0.000e+00, 0.000e+00)
                  03       |      (0.000e+00, 0.000e+00)
                  04       |      (0.000e+00, 0.000e+00)
                  05       |      (0.000e+00, 0.000e+00)
                  06       |      (0.000e+00, 0.000e+00)
                  07       |      (0.000e+00, 3.621e-03)
                  08       |      (4.337e-19, 3.621e-03)
                  09       |      (1.626e-18, 3.621e-03)
                  10       |      (0.000e+00, 3.621e-03)
                  11       |      (0.000e+00, 7.243e-03)
                  12       |      (-5.421e-20, 7.243e-03)
                  13       |      (1.681e-18, 7.243e-03)
                  14       |      (4.012e-18, 7.243e-03)
                  15       |      (4.093e-18, 7.243e-03)
                  16       |      (2.589e-18, 7.243e-03)
                  17       |      (0.000e+00, 7.243e-03)
                  18       |      (0.000e+00, 1.086e-02)
                  19       |      (1.084e-18, 1.086e-02)
                  20       |      (3.659e-18, 1.086e-02)
                  21       |      (0.000e+00, 1.086e-02)
                  22       |      (0.000e+00, 1.449e-02)
                  23       |      (-1.924e-18, 1.449e-02)
                  24       |      (-6.206e-19, 1.449e-02)
                  25       |      (-7.232e-19, 1.449e-02)
                  26       |      (-2.935e-19, 1.449e-02)
                  27       |      (7.115e-19, 1.449e-02)
                  28       |      (0.000e+00, 1.449e-02)
                  29       |      (0.000e+00, 1.811e-02)
                  30       |      (-6.422e-19, 1.811e-02)
                  31       |      (3.574e-19, 1.811e-02)
                  32       |      (0.000e+00, 1.811e-02)
                  33       |      (0.000e+00, 2.173e-02)
                  34       |      (9.606e-19, 2.173e-02)
                  35       |      (1.000e-18, 2.173e-02)
                  36       |      (-8.225e-19, 2.173e-02)
                  37       |      (9.274e-19, 2.173e-02)
                  38       |      (-1.179e-18, 2.173e-02)
                  39       |      (0.000e+00, 2.173e-02)
            --------------------------------------------------


%-------------------------------------------------------------------------------------------------------%
                                         FEM Program Standard Output
%-------------------------------------------------------------------------------------------------------%

                                            Averaged Nodal Strain (no unit): 

              Nodal Index  |                     Strain (R, TH, Z, RZ) 
            --------------------------------------------------------------------------------------
                  00       |      (1.685189e-34, -3.009266e-35, 1.207143e-03, 3.990223e-19)
                  01       |      (-2.407412e-34, -6.921311e-35, 1.207143e-03, -2.884103e-19)
                  02       |      (1.504633e-34, -9.357697e-22, 1.207143e-03, -1.061991e-20)
                  03       |      (1.053243e-34, 1.247693e-21, 1.207143e-03, 3.824126e-19)
                  04       |      (-2.971650e-35, -1.555631e-21, 1.207143e-03, 5.872502e-19)
                  05       |      (9.629650e-35, 8.264820e-22, 1.207143e-03, 2.390728e-19)
                  06       |      (-8.125017e-35, -1.239723e-21, 1.207143e-03, 9.407236e-20)
                  07       |      (-2.258755e-19, -2.258755e-19, 1.207143e-03, -2.515159e-18)
                  08       |      (4.720797e-19, 7.985952e-20, 1.207143e-03, 2.413588e-19)
                  09       |      (-1.332665e-19, 1.333068e-19, 1.207143e-03, 6.478981e-19)
                  10       |      (-4.517509e-19, 5.302519e-22, 1.207143e-03, -3.023816e-19)
