     COMPUTED NODAL POINT DISPLACEMENTS,
  NODE  R-COORD  Z-COORD  GRA DISP_R  GRA DISP_Z  SUR DISP_R  SUR DISP_Z

     1     0.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     2     0.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     3     1.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     4     1.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     5     2.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     6     2.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     7     3.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     8     3.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     9     4.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    10     4.25     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    11     4.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    12     4.75     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    13     5.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    14     5.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    15     6.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    16     6.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    17     7.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    18     7.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    19     8.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    20     8.50     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    21     9.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    22    10.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    23    11.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    24    13.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    25    15.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    26    19.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    27    23.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    28    31.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    29    39.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    30    55.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    31    71.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    32   103.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    33   135.00     0.00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
    34     0.00    64.00   0.000E+00  -0.530E-01   0.000E+00  -0.240E-03
    35     1.00    64.00  -0.199E-07  -0.530E-01   0.323E-07  -0.240E-03
    36     2.00    64.00  -0.404E-07  -0.530E-01   0.646E-07  -0.240E-03
    37     3.00    64.00  -0.616E-07  -0.530E-01   0.969E-07  -0.240E-03
    38     4.00    64.00  -0.834E-07  -0.530E-01   0.129E-06  -0.240E-03
    39     4.50    64.00  -0.943E-07  -0.530E-01   0.145E-06  -0.240E-03
    40     5.00    64.00  -0.105E-06  -0.530E-01   0.161E-06  -0.240E-03
    41     6.00    64.00  -0.125E-06  -0.530E-01   0.193E-06  -0.240E-03
    42     7.00    64.00  -0.143E-06  -0.530E-01   0.226E-06  -0.240E-03
    43     8.00    64.00  -0.160E-06  -0.530E-01   0.258E-06  -0.240E-03
    44     9.00    64.00  -0.176E-06  -0.530E-01   0.289E-06  -0.240E-03
    45    11.00    64.00  -0.199E-06  -0.530E-01   0.353E-06  -0.240E-03
    46    15.00    64.00  -0.229E-06  -0.530E-01   0.478E-06  -0.240E-03
    47    23.00    64.00  -0.251E-06  -0.530E-01   0.721E-06  -0.240E-03
    48    39.00    64.00  -0.245E-06  -0.530E-01   0.111E-05  -0.239E-03
    49    71.00    64.00  -0.197E-06  -0.530E-01   0.882E-06  -0.237E-03
    50   135.00    64.00   0.000E+00  -0.530E-01   0.000E+00  -0.236E-03
    51     0.00   128.00   0.000E+00  -0.975E-01   0.000E+00  -0.480E-03
    52     0.50   128.00   0.133E-07  -0.975E-01  -0.134E-07  -0.480E-03
    53     1.00   128.00   0.267E-07  -0.975E-01  -0.269E-07  -0.480E-03
    54     1.50   128.00   0.404E-07  -0.975E-01  -0.403E-07  -0.480E-03
    55     2.00   128.00   0.541E-07  -0.975E-01  -0.537E-07  -0.480E-03
    56     2.50   128.00   0.677E-07  -0.975E-01  -0.671E-07  -0.480E-03
    57     3.00   128.00   0.814E-07  -0.975E-01  -0.805E-07  -0.480E-03
    58     3.50   128.00   0.947E-07  -0.975E-01  -0.938E-07  -0.480E-03
    59     4.00   128.00   0.108E-06  -0.975E-01  -0.107E-06  -0.480E-03
    60     4.25   128.00   0.115E-06  -0.975E-01  -0.114E-06  -0.480E-03
    61     4.50   128.00   0.121E-06  -0.975E-01  -0.121E-06  -0.480E-03
    62     4.75   128.00   0.127E-06  -0.975E-01  -0.127E-06  -0.480E-03
    63     5.00   128.00   0.132E-06  -0.975E-01  -0.134E-06  -0.480E-03
    64     5.50   128.00   0.139E-06  -0.975E-01  -0.147E-06  -0.480E-03
    65     6.00   128.00   0.146E-06  -0.975E-01  -0.160E-06  -0.480E-03
    66     6.50   128.00   0.148E-06  -0.975E-01  -0.174E-06  -0.480E-03
    67     7.00   128.00   0.151E-06  -0.975E-01  -0.187E-06  -0.480E-03
    68     7.50   128.00   0.148E-06  -0.975E-01  -0.200E-06  -0.480E-03
    69     8.00   128.00   0.146E-06  -0.975E-01  -0.213E-06  -0.480E-03
    70     8.50   128.00   0.140E-06  -0.975E-01  -0.226E-06  -0.480E-03
    71     9.00   128.00   0.134E-06  -0.975E-01  -0.240E-06  -0.480E-03
    72    10.00   128.00   0.118E-06  -0.975E-01  -0.266E-06  -0.480E-03
    73    11.00   128.00   0.102E-06  -0.975E-01  -0.291E-06  -0.480E-03
    74    13.00   128.00   0.661E-07  -0.975E-01  -0.342E-06  -0.480E-03
    75    15.00   128.00   0.318E-07  -0.975E-01  -0.391E-06  -0.480E-03
    76    19.00   128.00  -0.290E-07  -0.975E-01  -0.484E-06  -0.480E-03
    77    23.00   128.00  -0.845E-07  -0.975E-01  -0.568E-06  -0.480E-03
    78    31.00   128.00  -0.161E-06  -0.975E-01  -0.582E-06  -0.479E-03
    79    39.00   128.00  -0.221E-06  -0.975E-01  -0.536E-06  -0.479E-03
    80    55.00   128.00  -0.260E-06  -0.975E-01   0.487E-07  -0.476E-03
    81    71.00   128.00  -0.240E-06  -0.975E-01   0.967E-06  -0.473E-03
    82   103.00   128.00  -0.150E-06  -0.975E-01  -0.241E-08  -0.473E-03
    83   135.00   128.00   0.000E+00  -0.975E-01   0.000E+00  -0.470E-03
    84     0.00   192.00   0.000E+00  -0.134E+00   0.000E+00  -0.750E-03
    85     1.00   192.00  -0.313E-07  -0.134E+00   0.655E-06  -0.750E-03
    86     2.00   192.00  -0.624E-07  -0.134E+00   0.131E-05  -0.750E-03
    87     3.00   192.00  -0.932E-07  -0.134E+00   0.196E-05  -0.750E-03
    88     4.00   192.00  -0.122E-06  -0.134E+00   0.261E-05  -0.750E-03
    89     4.50   192.00  -0.136E-06  -0.134E+00   0.294E-05  -0.750E-03
    90     5.00   192.00  -0.148E-06  -0.134E+00   0.326E-05  -0.750E-03
    91     6.00   192.00  -0.161E-06  -0.134E+00   0.391E-05  -0.750E-03
    92     7.00   192.00  -0.163E-06  -0.134E+00   0.456E-05  -0.750E-03
    93     8.00   192.00  -0.154E-06  -0.134E+00   0.520E-05  -0.750E-03
    94     9.00   192.00  -0.139E-06  -0.134E+00   0.584E-05  -0.750E-03
    95    11.00   192.00  -0.101E-06  -0.134E+00   0.711E-05  -0.749E-03
    96    15.00   192.00  -0.240E-07  -0.134E+00   0.959E-05  -0.749E-03
    97    23.00   192.00   0.965E-07  -0.134E+00   0.142E-04  -0.746E-03
    98    39.00   192.00   0.272E-06  -0.134E+00   0.215E-04  -0.739E-03
    99    71.00   192.00   0.402E-06  -0.134E+00   0.262E-04  -0.723E-03
   100   135.00   192.00   0.000E+00  -0.134E+00   0.000E+00  -0.698E-03
   101     0.00   256.00   0.000E+00  -0.161E+00   0.000E+00  -0.115E-02
   102     0.50   256.00   0.125E-07  -0.161E+00   0.943E-06  -0.115E-02
   103     1.00   256.00   0.250E-07  -0.161E+00   0.189E-05  -0.115E-02
   104     1.50   256.00   0.389E-07  -0.161E+00   0.283E-05  -0.115E-02
   105     2.00   256.00   0.528E-07  -0.161E+00   0.377E-05  -0.115E-02
   106     2.50   256.00   0.688E-07  -0.161E+00   0.471E-05  -0.115E-02
   107     3.00   256.00   0.848E-07  -0.161E+00   0.565E-05  -0.115E-02
   108     3.50   256.00   0.103E-06  -0.161E+00   0.659E-05  -0.115E-02
   109     4.00   256.00   0.122E-06  -0.161E+00   0.753E-05  -0.115E-02
   110     4.25   256.00   0.132E-06  -0.161E+00   0.800E-05  -0.115E-02
   111     4.50   256.00   0.142E-06  -0.161E+00   0.847E-05  -0.115E-02
   112     4.75   256.00   0.153E-06  -0.161E+00   0.894E-05  -0.115E-02
   113     5.00   256.00   0.164E-06  -0.161E+00   0.941E-05  -0.115E-02
   114     5.50   256.00   0.184E-06  -0.161E+00   0.103E-04  -0.115E-02
   115     6.00   256.00   0.205E-06  -0.161E+00   0.113E-04  -0.115E-02
   116     6.50   256.00   0.222E-06  -0.161E+00   0.122E-04  -0.115E-02
   117     7.00   256.00   0.239E-06  -0.161E+00   0.131E-04  -0.115E-02
   118     7.50   256.00   0.252E-06  -0.161E+00   0.141E-04  -0.115E-02
   119     8.00   256.00   0.266E-06  -0.161E+00   0.150E-04  -0.115E-02
   120     8.50   256.00   0.278E-06  -0.161E+00   0.159E-04  -0.114E-02
   121     9.00   256.00   0.290E-06  -0.161E+00   0.168E-04  -0.114E-02
   122    10.00   256.00   0.320E-06  -0.161E+00   0.187E-04  -0.114E-02
   123    11.00   256.00   0.351E-06  -0.161E+00   0.205E-04  -0.114E-02
   124    13.00   256.00   0.440E-06  -0.161E+00   0.241E-04  -0.114E-02
   125    15.00   256.00   0.529E-06  -0.161E+00   0.277E-04  -0.114E-02
   126    19.00   256.00   0.746E-06  -0.161E+00   0.345E-04  -0.113E-02
   127    23.00   256.00   0.961E-06  -0.161E+00   0.412E-04  -0.113E-02
   128    31.00   256.00   0.136E-05  -0.161E+00   0.531E-04  -0.111E-02
   129    39.00   256.00   0.174E-05  -0.161E+00   0.635E-04  -0.109E-02
   130    55.00   256.00   0.200E-05  -0.161E+00   0.738E-04  -0.104E-02
   131    71.00   256.00   0.204E-05  -0.161E+00   0.758E-04  -0.988E-03
   132   103.00   256.00   0.116E-05  -0.161E+00   0.457E-04  -0.900E-03
   133   135.00   256.00   0.000E+00  -0.161E+00   0.000E+00  -0.866E-03
   134     0.00   288.00   0.000E+00  -0.172E+00   0.000E+00  -0.149E-02
   135     1.00   288.00   0.343E-06  -0.172E+00   0.522E-05  -0.149E-02
   136     2.00   288.00   0.680E-06  -0.172E+00   0.104E-04  -0.149E-02
   137     3.00   288.00   0.101E-05  -0.172E+00   0.156E-04  -0.149E-02
   138     4.00   288.00   0.133E-05  -0.172E+00   0.208E-04  -0.149E-02
   139     4.50   288.00   0.148E-05  -0.172E+00   0.234E-04  -0.149E-02
   140     5.00   288.00   0.163E-05  -0.172E+00   0.260E-04  -0.149E-02
   141     6.00   288.00   0.192E-05  -0.172E+00   0.311E-04  -0.149E-02
   142     7.00   288.00   0.220E-05  -0.172E+00   0.363E-04  -0.149E-02
   143     8.00   288.00   0.248E-05  -0.172E+00   0.414E-04  -0.149E-02
   144     9.00   288.00   0.276E-05  -0.172E+00   0.464E-04  -0.148E-02
   145    11.00   288.00   0.327E-05  -0.172E+00   0.564E-04  -0.148E-02
   146    15.00   288.00   0.420E-05  -0.172E+00   0.758E-04  -0.147E-02
   147    23.00   288.00   0.581E-05  -0.172E+00   0.111E-03  -0.144E-02
   148    39.00   288.00   0.804E-05  -0.172E+00   0.164E-03  -0.136E-02
   149    71.00   288.00   0.795E-05  -0.172E+00   0.183E-03  -0.115E-02
   150   135.00   288.00   0.000E+00  -0.172E+00   0.000E+00  -0.914E-03
   151     0.00   320.00   0.000E+00  -0.180E+00   0.000E+00  -0.212E-02
   152     0.50   320.00   0.231E-06  -0.180E+00   0.518E-05  -0.212E-02
   153     1.00   320.00   0.462E-06  -0.180E+00   0.103E-04  -0.212E-02
   154     1.50   320.00   0.691E-06  -0.180E+00   0.155E-04  -0.212E-02
   155     2.00   320.00   0.919E-06  -0.180E+00   0.207E-04  -0.212E-02
   156     2.50   320.00   0.115E-05  -0.180E+00   0.259E-04  -0.212E-02
   157     3.00   320.00   0.137E-05  -0.180E+00   0.310E-04  -0.212E-02
   158     3.50   320.00   0.160E-05  -0.180E+00   0.362E-04  -0.212E-02
   159     4.00   320.00   0.182E-05  -0.180E+00   0.413E-04  -0.212E-02
   160     4.25   320.00   0.194E-05  -0.180E+00   0.439E-04  -0.212E-02
   161     4.50   320.00   0.205E-05  -0.180E+00   0.464E-04  -0.212E-02
   162     4.75   320.00   0.217E-05  -0.180E+00   0.490E-04  -0.212E-02
   163     5.00   320.00   0.229E-05  -0.180E+00   0.516E-04  -0.212E-02
   164     5.50   320.00   0.254E-05  -0.180E+00   0.567E-04  -0.212E-02
   165     6.00   320.00   0.279E-05  -0.180E+00   0.618E-04  -0.212E-02
   166     6.50   320.00   0.305E-05  -0.180E+00   0.668E-04  -0.211E-02
   167     7.00   320.00   0.331E-05  -0.180E+00   0.719E-04  -0.211E-02
   168     7.50   320.00   0.357E-05  -0.180E+00   0.770E-04  -0.211E-02
   169     8.00   320.00   0.383E-05  -0.180E+00   0.820E-04  -0.211E-02
   170     8.50   320.00   0.410E-05  -0.180E+00   0.870E-04  -0.211E-02
   171     9.00   320.00   0.437E-05  -0.180E+00   0.920E-04  -0.210E-02
