     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
    --------   -------  -------   -----------------  -----------------
         1      0.50      64.00     0.949709E+04     0.949709E+04
         2      1.50      64.00     0.949709E+04     0.949709E+04
         3      2.50      64.00     0.949709E+04     0.949709E+04
         4      3.50      64.00     0.949710E+04     0.949710E+04
         5      4.25      64.00     0.949710E+04     0.949710E+04
         6      4.75      64.00     0.949709E+04     0.949709E+04
         7      5.50      64.00     0.949707E+04     0.949707E+04
         8      6.50      64.00     0.949704E+04     0.949704E+04
         9      7.50      64.00     0.949703E+04     0.949703E+04
        10      8.50      64.00     0.949700E+04     0.949700E+04
        11     10.00      64.00     0.949698E+04     0.949698E+04
        12     13.00      64.00     0.949693E+04     0.949693E+04
        13     19.00      64.00     0.949689E+04     0.949689E+04
        14     31.00      64.00     0.949685E+04     0.949685E+04
        15     55.00      64.00     0.949682E+04     0.949682E+04
        16    103.00      64.00     0.949680E+04     0.949680E+04
        17      0.50     192.00     0.952421E+04     0.952421E+04
        18      1.50     192.00     0.952420E+04     0.952420E+04
        19      2.50     192.00     0.952419E+04     0.952419E+04
        20      3.50     192.00     0.952419E+04     0.952419E+04
        21      4.25     192.00     0.952418E+04     0.952418E+04
        22      4.75     192.00     0.952418E+04     0.952418E+04
        23      5.50     192.00     0.952415E+04     0.952415E+04
        24      6.50     192.00     0.952411E+04     0.952411E+04
        25      7.50     192.00     0.952408E+04     0.952408E+04
        26      8.50     192.00     0.952405E+04     0.952405E+04
        27     10.00     192.00     0.952402E+04     0.952402E+04
        28     13.00     192.00     0.952398E+04     0.952398E+04
        29     19.00     192.00     0.952396E+04     0.952396E+04
        30     31.00     192.00     0.952393E+04     0.952393E+04
        31     55.00     192.00     0.952395E+04     0.952395E+04
        32    103.00     192.00     0.952398E+04     0.952398E+04
        33      0.50     288.00     0.953784E+04     0.953784E+04
        34      1.50     288.00     0.953786E+04     0.953786E+04
        35      2.50     288.00     0.953789E+04     0.953789E+04
        36      3.50     288.00     0.953793E+04     0.953793E+04
        37      4.25     288.00     0.953797E+04     0.953797E+04
        38      4.75     288.00     0.953803E+04     0.953803E+04
        39      5.50     288.00     0.953819E+04     0.953819E+04
