  STRAINS @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD       EPS R          EPS TH         EPS Z         EPS RZ

      1     0.50    64.00      0.323214E-07   0.323193E-07  -0.374873E-05   0.130542E-08
      2     1.50    64.00      0.322982E-07   0.323119E-07  -0.374872E-05   0.230683E-08
      3     2.50    64.00      0.322664E-07   0.322993E-07  -0.374868E-05   0.369549E-08
      4     3.50    64.00      0.322257E-07   0.322834E-07  -0.374864E-05   0.509536E-08
      5     4.25    64.00      0.321984E-07   0.322728E-07  -0.374860E-05   0.626910E-08
      6     4.75    64.00      0.321758E-07   0.322637E-07  -0.374857E-05   0.723398E-08
      7     5.50    64.00      0.321369E-07   0.322465E-07  -0.374853E-05   0.862492E-08
      8     6.50    64.00      0.320880E-07   0.322257E-07  -0.374848E-05   0.100984E-07
      9     7.50    64.00      0.320226E-07   0.322028E-07  -0.374841E-05   0.116201E-07
     10     8.50    64.00      0.319461E-07   0.321769E-07  -0.374832E-05   0.132416E-07
     11    10.00    64.00      0.317766E-07   0.321195E-07  -0.374816E-05   0.157444E-07
     12    13.00    64.00      0.313079E-07   0.319441E-07  -0.374773E-05   0.212104E-07
     13    19.00    64.00      0.303084E-07   0.314307E-07  -0.374680E-05   0.358413E-07
     14    31.00    64.00      0.242320E-07   0.290238E-07  -0.374323E-05   0.669356E-07
     15    55.00    64.00     -0.707129E-08   0.165831E-07  -0.371775E-05   0.555287E-07
     16   103.00    64.00     -0.137840E-07   0.192455E-08  -0.369861E-05   0.198125E-07
     17     0.50   192.00      0.654539E-06   0.654596E-06  -0.521760E-05   0.147243E-07
     18     1.50   192.00      0.654116E-06   0.654454E-06  -0.521697E-05   0.462617E-07
     19     2.50   192.00      0.653297E-06   0.654176E-06  -0.521571E-05   0.774194E-07
     20     3.50   192.00      0.652077E-06   0.653766E-06  -0.521383E-05   0.108957E-06
     21     4.25   192.00      0.650961E-06   0.653371E-06  -0.521207E-05   0.133019E-06
     22     4.75   192.00      0.650075E-06   0.653072E-06  -0.521071E-05   0.149453E-06
     23     5.50   192.00      0.648525E-06   0.652566E-06  -0.520838E-05   0.172659E-06
     24     6.50   192.00      0.646143E-06   0.651769E-06  -0.520474E-05   0.203224E-06
     25     7.50   192.00      0.643354E-06   0.650840E-06  -0.520047E-05   0.233735E-06
     26     8.50   192.00      0.640174E-06   0.649778E-06  -0.519557E-05   0.264224E-06
     27    10.00   192.00      0.634514E-06   0.647943E-06  -0.518698E-05   0.309734E-06
     28    13.00   192.00      0.620407E-06   0.643372E-06  -0.516558E-05   0.399904E-06
     29    19.00   192.00      0.581704E-06   0.630767E-06  -0.510672E-05   0.577690E-06
     30    31.00   192.00      0.454937E-06   0.589466E-06  -0.492457E-05   0.850620E-06
     31    55.00   192.00      0.144568E-06   0.470010E-06  -0.441498E-05   0.109074E-05
     32   103.00   192.00     -0.408628E-06   0.162173E-06  -0.333507E-05   0.743827E-06
     33     0.50   288.00      0.521525E-05   0.521586E-05  -0.152556E-04   0.160196E-06
     34     1.50   288.00      0.521089E-05   0.521438E-05  -0.152491E-04   0.492494E-06
     35     2.50   288.00      0.520222E-05   0.521148E-05  -0.152361E-04   0.821518E-06
     36     3.50   288.00      0.518910E-05   0.520712E-05  -0.152166E-04   0.114930E-05
     37     4.25   288.00      0.517650E-05   0.520287E-05  -0.151977E-04   0.139460E-05
     38     4.75   288.00      0.516649E-05   0.519958E-05  -0.151829E-04   0.155700E-05
     39     5.50   288.00      0.514910E-05   0.519394E-05  -0.151575E-04   0.180154E-05
     40     6.50   288.00      0.512253E-05   0.518508E-05  -0.151181E-04   0.212494E-05
     41     7.50   288.00      0.509188E-05   0.517477E-05  -0.150725E-04   0.244747E-05
     42     8.50   288.00      0.505736E-05   0.516306E-05  -0.150209E-04   0.276839E-05
     43    10.00   288.00      0.499732E-05   0.514298E-05  -0.149319E-04   0.324311E-05
     44    13.00   288.00      0.484948E-05   0.509380E-05  -0.147129E-04   0.417173E-05
     45    19.00   288.00      0.444889E-05   0.496037E-05  -0.141214E-04   0.592111E-05
     46    31.00   288.00      0.331439E-05   0.456593E-05  -0.124256E-04   0.862455E-05
     47    55.00   288.00      0.576932E-06   0.343894E-05  -0.795596E-05   0.109243E-04
     48   103.00   288.00     -0.285759E-05   0.104406E-05  -0.137442E-05   0.594085E-05
     49     0.50   336.00      0.166506E-04   0.166537E-04  -0.400603E-04   0.644130E-06
     50     1.50   336.00      0.166287E-04   0.166462E-04  -0.400278E-04   0.195847E-05
     51     2.50   336.00      0.165848E-04   0.166316E-04  -0.399632E-04   0.326156E-05
     52     3.50   336.00      0.165189E-04   0.166096E-04  -0.398665E-04   0.455777E-05
     53     4.25   336.00      0.164561E-04   0.165882E-04  -0.397734E-04   0.552635E-05
     54     4.75   336.00      0.164073E-04   0.165718E-04  -0.397015E-04   0.616682E-05
     55     5.50   336.00      0.163236E-04   0.165440E-04  -0.395789E-04   0.712117E-05
     56     6.50   336.00      0.161943E-04   0.165006E-04  -0.393884E-04   0.838729E-05
     57     7.50   336.00      0.160442E-04   0.164501E-04  -0.391675E-04   0.963853E-05
     58     8.50   336.00      0.158739E-04   0.163926E-04  -0.389166E-04   0.108748E-04
     59    10.00   336.00      0.155795E-04   0.162940E-04  -0.384854E-04   0.126859E-04
     60    13.00   336.00      0.148652E-04   0.160534E-04  -0.374378E-04   0.161532E-04
     61    19.00   336.00      0.129912E-04   0.154080E-04  -0.346853E-04   0.222488E-04
     62    31.00   336.00      0.827306E-05   0.136051E-04  -0.274419E-04   0.302384E-04
     63    55.00   336.00     -0.834655E-06   0.909874E-05  -0.122060E-04   0.319608E-04
     64   103.00   336.00     -0.699156E-05   0.229516E-05   0.182440E-05   0.122224E-04
     65     0.50   360.00      0.327620E-04   0.327712E-04  -0.751955E-04   0.159097E-05
     66     1.50   360.00      0.326953E-04   0.327485E-04  -0.750985E-04   0.479178E-05
     67     2.50   360.00      0.325607E-04   0.327037E-04  -0.749043E-04   0.796946E-05
     68     3.50   360.00      0.323593E-04   0.326365E-04  -0.746138E-04   0.111223E-04
     69     4.25   360.00      0.321667E-04   0.325713E-04  -0.743333E-04   0.134693E-04
     70     4.75   360.00      0.320176E-04   0.325211E-04  -0.741180E-04   0.150218E-04
     71     5.50   360.00      0.317639E-04   0.324360E-04  -0.737530E-04   0.173208E-04
     72     6.50   360.00      0.313726E-04   0.323037E-04  -0.731864E-04   0.203435E-04
     73     7.50   360.00      0.309200E-04   0.321504E-04  -0.725313E-04   0.233061E-04
     74     8.50   360.00      0.304090E-04   0.319764E-04  -0.717911E-04   0.262026E-04
     75    10.00   360.00      0.295332E-04   0.316787E-04  -0.705284E-04   0.303896E-04
     76    13.00   360.00      0.274419E-04   0.309573E-04  -0.675037E-04   0.381519E-04
     77    19.00   360.00      0.222232E-04   0.290714E-04  -0.598451E-04   0.505065E-04
     78    31.00   360.00      0.104666E-04   0.241141E-04  -0.413851E-04   0.618474E-04
     79    55.00   360.00     -0.526249E-05   0.139946E-04  -0.127597E-04   0.510853E-04
     80   103.00   360.00     -0.988470E-05   0.291606E-05   0.425504E-05   0.139977E-04
     81     0.50   372.00      0.487466E-04   0.487651E-04  -0.110109E-03   0.276108E-05
     82     1.50   372.00      0.486113E-04   0.487190E-04  -0.109915E-03   0.827626E-05
     83     2.50   372.00      0.483402E-04   0.486285E-04  -0.109528E-03   0.137541E-04
     84     3.50   372.00      0.479355E-04   0.484931E-04  -0.108951E-03   0.191708E-04
     85     4.25   372.00      0.475486E-04   0.483621E-04  -0.108393E-03   0.231821E-04
     86     4.75   372.00      0.472462E-04   0.482609E-04  -0.107963E-03   0.258286E-04
     87     5.50   372.00      0.467297E-04   0.480887E-04  -0.107232E-03   0.297345E-04
     88     6.50   372.00      0.459395E-04   0.478212E-04  -0.106102E-03   0.348355E-04
     89     7.50   372.00      0.450325E-04   0.475117E-04  -0.104802E-03   0.397923E-04
     90     8.50   372.00      0.440130E-04   0.471617E-04  -0.103340E-03   0.445905E-04
     91    10.00   372.00      0.422796E-04   0.465640E-04  -0.100862E-03   0.514147E-04
     92    13.00   372.00      0.381992E-04   0.451264E-04  -0.950041E-04   0.636323E-04
     93    19.00   372.00      0.284764E-04   0.414542E-04  -0.806780E-04   0.812821E-04
     94    31.00   372.00      0.880795E-05   0.323980E-04  -0.490994E-04   0.908095E-04
     95    55.00   372.00     -0.101403E-04   0.166190E-04  -0.106677E-04   0.612059E-04
     96   103.00   372.00     -0.110055E-04   0.300252E-05   0.540496E-05   0.134984E-04
