  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ

      1     0.50    64.00     -0.209280E+02  -0.209280E+02  -0.255790E+02  -0.216539E-04
      2     1.50    64.00     -0.209281E+02  -0.209280E+02  -0.255790E+02  -0.110066E-03
      3     2.50    64.00     -0.209281E+02  -0.209281E+02  -0.255790E+02  -0.126777E-03
      4     3.50    64.00     -0.209281E+02  -0.209281E+02  -0.255790E+02  -0.149534E-03
      5     4.25    64.00     -0.209281E+02  -0.209281E+02  -0.255790E+02  -0.449669E-04
      6     4.75    64.00     -0.209280E+02  -0.209280E+02  -0.255790E+02  -0.359315E-04
      7     5.50    64.00     -0.209280E+02  -0.209280E+02  -0.255789E+02  -0.918607E-05
      8     6.50    64.00     -0.209279E+02  -0.209279E+02  -0.255788E+02  -0.926163E-04
      9     7.50    64.00     -0.209278E+02  -0.209278E+02  -0.255787E+02  -0.772016E-04
     10     8.50    64.00     -0.209277E+02  -0.209277E+02  -0.255787E+02  -0.260641E-04
     11    10.00    64.00     -0.209276E+02  -0.209276E+02  -0.255786E+02  -0.256685E-06
     12    13.00    64.00     -0.209275E+02  -0.209275E+02  -0.255785E+02  -0.494550E-04
     13    19.00    64.00     -0.209274E+02  -0.209274E+02  -0.255784E+02  -0.153425E-04
     14    31.00    64.00     -0.209275E+02  -0.209275E+02  -0.255785E+02   0.122913E-03
     15    55.00    64.00     -0.209282E+02  -0.209281E+02  -0.255790E+02   0.140865E-03
     16   103.00    64.00     -0.209283E+02  -0.209283E+02  -0.255789E+02   0.511385E-04
     17     0.50   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02   0.116291E-03
     18     1.50   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02  -0.256864E-04
     19     2.50   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02   0.168510E-03
     20     3.50   192.00     -0.136629E+02  -0.136629E+02  -0.167124E+02   0.140206E-03
     21     4.25   192.00     -0.136629E+02  -0.136629E+02  -0.167124E+02   0.380504E-03
     22     4.75   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02   0.957023E-03
     23     5.50   192.00     -0.136627E+02  -0.136628E+02  -0.167123E+02   0.994344E-03
     24     6.50   192.00     -0.136626E+02  -0.136627E+02  -0.167122E+02   0.823512E-03
     25     7.50   192.00     -0.136624E+02  -0.136625E+02  -0.167121E+02   0.968829E-03
     26     8.50   192.00     -0.136622E+02  -0.136624E+02  -0.167120E+02   0.101792E-02
     27    10.00   192.00     -0.136622E+02  -0.136623E+02  -0.167119E+02   0.105799E-02
     28    13.00   192.00     -0.136622E+02  -0.136622E+02  -0.167117E+02   0.109915E-02
     29    19.00   192.00     -0.136623E+02  -0.136620E+02  -0.167111E+02   0.162654E-02
     30    31.00   192.00     -0.136627E+02  -0.136618E+02  -0.167095E+02   0.257439E-02
     31    55.00   192.00     -0.136624E+02  -0.136602E+02  -0.167037E+02   0.347742E-02
     32   103.00   192.00     -0.136594E+02  -0.136556E+02  -0.166899E+02   0.243397E-02
     33     0.50   288.00     -0.820574E+01  -0.820574E+01  -0.101463E+02   0.428503E-03
     34     1.50   288.00     -0.820582E+01  -0.820577E+01  -0.101463E+02   0.115945E-02
     35     2.50   288.00     -0.820596E+01  -0.820585E+01  -0.101462E+02   0.213263E-02
     36     3.50   288.00     -0.820608E+01  -0.820587E+01  -0.101459E+02   0.314509E-02
     37     4.25   288.00     -0.820625E+01  -0.820596E+01  -0.101458E+02   0.399749E-02
     38     4.75   288.00     -0.820646E+01  -0.820609E+01  -0.101457E+02   0.493208E-02
     39     5.50   288.00     -0.820687E+01  -0.820636E+01  -0.101457E+02   0.589797E-02
     40     6.50   288.00     -0.820718E+01  -0.820656E+01  -0.101456E+02   0.690035E-02
     41     7.50   288.00     -0.820742E+01  -0.820668E+01  -0.101453E+02   0.794182E-02
     42     8.50   288.00     -0.820770E+01  -0.820678E+01  -0.101449E+02   0.884752E-02
     43    10.00   288.00     -0.820817E+01  -0.820695E+01  -0.101442E+02   0.102425E-01
     44    13.00   288.00     -0.820896E+01  -0.820701E+01  -0.101423E+02   0.133672E-01
     45    19.00   288.00     -0.821027E+01  -0.820652E+01  -0.101366E+02   0.196305E-01
     46    31.00   288.00     -0.821293E+01  -0.820415E+01  -0.101197E+02   0.292323E-01
     47    55.00   288.00     -0.821310E+01  -0.819330E+01  -0.100702E+02   0.372798E-01
     48   103.00   288.00     -0.821347E+01  -0.818681E+01  -0.100024E+02   0.202097E-01
     49     0.50   336.00     -0.546286E+01  -0.546283E+01  -0.704251E+01   0.206760E-02
     50     1.50   336.00     -0.546268E+01  -0.546263E+01  -0.704215E+01   0.627780E-02
     51     2.50   336.00     -0.546244E+01  -0.546226E+01  -0.704141E+01   0.104390E-01
     52     3.50   336.00     -0.546230E+01  -0.546189E+01  -0.704043E+01   0.145696E-01
     53     4.25   336.00     -0.546240E+01  -0.546169E+01  -0.703954E+01   0.174882E-01
     54     4.75   336.00     -0.546269E+01  -0.546168E+01  -0.703893E+01   0.195704E-01
     55     5.50   336.00     -0.546332E+01  -0.546178E+01  -0.703793E+01   0.230827E-01
     56     6.50   336.00     -0.546412E+01  -0.546186E+01  -0.703629E+01   0.272588E-01
     57     7.50   336.00     -0.546481E+01  -0.546187E+01  -0.703442E+01   0.314058E-01
     58     8.50   336.00     -0.546566E+01  -0.546195E+01  -0.703244E+01   0.355255E-01
     59    10.00   336.00     -0.546675E+01  -0.546179E+01  -0.702877E+01   0.416163E-01
     60    13.00   336.00     -0.546871E+01  -0.546072E+01  -0.701918E+01   0.537713E-01
     61    19.00   336.00     -0.547414E+01  -0.545798E+01  -0.699374E+01   0.750112E-01
     62    31.00   336.00     -0.548430E+01  -0.544836E+01  -0.692317E+01   0.102911E+00
     63    55.00   336.00     -0.549754E+01  -0.542969E+01  -0.676997E+01   0.109862E+00
     64   103.00   336.00     -0.550792E+01  -0.544380E+01  -0.664081E+01   0.427735E-01
     65     0.50   360.00     -0.408394E+01  -0.408387E+01  -0.570314E+01   0.531699E-02
     66     1.50   360.00     -0.408423E+01  -0.408386E+01  -0.570227E+01   0.157896E-01
     67     2.50   360.00     -0.408467E+01  -0.408368E+01  -0.570042E+01   0.262821E-01
     68     3.50   360.00     -0.408545E+01  -0.408348E+01  -0.569767E+01   0.364133E-01
     69     4.25   360.00     -0.408567E+01  -0.408292E+01  -0.569473E+01   0.438335E-01
     70     4.75   360.00     -0.408573E+01  -0.408252E+01  -0.569272E+01   0.487875E-01
     71     5.50   360.00     -0.408622E+01  -0.408212E+01  -0.568963E+01   0.562145E-01
     72     6.50   360.00     -0.408758E+01  -0.408180E+01  -0.568494E+01   0.660135E-01
     73     7.50   360.00     -0.408969E+01  -0.408161E+01  -0.567924E+01   0.756712E-01
     74     8.50   360.00     -0.409196E+01  -0.408144E+01  -0.567284E+01   0.855005E-01
     75    10.00   360.00     -0.409522E+01  -0.408082E+01  -0.566174E+01   0.997301E-01
     76    13.00   360.00     -0.410233E+01  -0.407899E+01  -0.563502E+01   0.126188E+00
     77    19.00   360.00     -0.411980E+01  -0.407446E+01  -0.556708E+01   0.168043E+00
     78    31.00   360.00     -0.414537E+01  -0.405496E+01  -0.539219E+01   0.207272E+00
     79    55.00   360.00     -0.416814E+01  -0.403856E+01  -0.511549E+01   0.174794E+00
     80   103.00   360.00     -0.416290E+01  -0.407389E+01  -0.495678E+01   0.510101E-01
     81     0.50   372.00     -0.338866E+01  -0.338854E+01  -0.519456E+01   0.921277E-02
     82     1.50   372.00     -0.338912E+01  -0.338842E+01  -0.519288E+01   0.273579E-01
     83     2.50   372.00     -0.338992E+01  -0.338807E+01  -0.518937E+01   0.454652E-01
     84     3.50   372.00     -0.339050E+01  -0.338710E+01  -0.518383E+01   0.630139E-01
     85     4.25   372.00     -0.339127E+01  -0.338637E+01  -0.517878E+01   0.758655E-01
     86     4.75   372.00     -0.339233E+01  -0.338594E+01  -0.517476E+01   0.841526E-01
     87     5.50   372.00     -0.339541E+01  -0.338624E+01  -0.516869E+01   0.969694E-01
     88     6.50   372.00     -0.339908E+01  -0.338606E+01  -0.515874E+01   0.113737E+00
     89     7.50   372.00     -0.340275E+01  -0.338575E+01  -0.514755E+01   0.130316E+00
     90     8.50   372.00     -0.340678E+01  -0.338533E+01  -0.513488E+01   0.146312E+00
     91    10.00   372.00     -0.341383E+01  -0.338496E+01  -0.511391E+01   0.169102E+00
     92    13.00   372.00     -0.343019E+01  -0.338403E+01  -0.506431E+01   0.209909E+00
     93    19.00   372.00     -0.346572E+01  -0.337986E+01  -0.494063E+01   0.268858E+00
     94    31.00   372.00     -0.350993E+01  -0.335467E+01  -0.464719E+01   0.301717E+00
     95    55.00   372.00     -0.352572E+01  -0.334733E+01  -0.427845E+01   0.208659E+00
     96   103.00   372.00     -0.348867E+01  -0.339083E+01  -0.411625E+01   0.511132E-01
     97     0.50   379.00     -0.298909E+01  -0.298889E+01  -0.501388E+01   0.131511E-01
     98     1.50   379.00     -0.298992E+01  -0.298877E+01  -0.501118E+01   0.393957E-01
     99     2.50   379.00     -0.299159E+01  -0.298849E+01  -0.500577E+01   0.651732E-01
    100     3.50   379.00     -0.299464E+01  -0.298843E+01  -0.499777E+01   0.905218E-01
    101     4.25   379.00     -0.299709E+01  -0.298806E+01  -0.498984E+01   0.109436E+00
    102     4.75   379.00     -0.299869E+01  -0.298770E+01  -0.498395E+01   0.121732E+00
