  PRINCIPAL STRESSES:


  ELEMENT  R-COORD  Z-COORD      SIGMA 1        SIGMA 2        SIGMA 3        ANGLE 

      1     0.50    64.00     -0.209280E+02  -0.209280E+02  -0.255790E+02  -0.266756E-03
      2     1.50    64.00     -0.209281E+02  -0.209280E+02  -0.255790E+02  -0.135592E-02
      3     2.50    64.00     -0.209281E+02  -0.209281E+02  -0.255790E+02  -0.156179E-02
      4     3.50    64.00     -0.209281E+02  -0.209281E+02  -0.255790E+02  -0.184213E-02
      5     4.25    64.00     -0.209281E+02  -0.209281E+02  -0.255790E+02  -0.553956E-03
      6     4.75    64.00     -0.209280E+02  -0.209280E+02  -0.255790E+02  -0.442646E-03
      7     5.50    64.00     -0.209280E+02  -0.209280E+02  -0.255789E+02  -0.113165E-03
      8     6.50    64.00     -0.209279E+02  -0.209279E+02  -0.255788E+02  -0.114096E-02
      9     7.50    64.00     -0.209278E+02  -0.209278E+02  -0.255787E+02  -0.951060E-03
     10     8.50    64.00     -0.209277E+02  -0.209277E+02  -0.255787E+02  -0.321088E-03
     11    10.00    64.00     -0.209276E+02  -0.209276E+02  -0.255786E+02  -0.316212E-05
     12    13.00    64.00     -0.209275E+02  -0.209275E+02  -0.255785E+02  -0.609235E-03
     13    19.00    64.00     -0.209274E+02  -0.209274E+02  -0.255784E+02  -0.189002E-03
     14    31.00    64.00     -0.209275E+02  -0.209275E+02  -0.255785E+02   0.151415E-02
     15    55.00    64.00     -0.209282E+02  -0.209281E+02  -0.255790E+02   0.173542E-02
     16   103.00    64.00     -0.209283E+02  -0.209283E+02  -0.255789E+02   0.630032E-03
     17     0.50   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02   0.218500E-02
     18     1.50   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02  -0.482624E-03
     19     2.50   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02   0.316615E-02
     20     3.50   192.00     -0.136629E+02  -0.136629E+02  -0.167124E+02   0.263434E-02
     21     4.25   192.00     -0.136629E+02  -0.136629E+02  -0.167124E+02   0.714932E-02
     22     4.75   192.00     -0.136629E+02  -0.136629E+02  -0.167123E+02   0.179814E-01
     23     5.50   192.00     -0.136627E+02  -0.136628E+02  -0.167123E+02   0.186820E-01
     24     6.50   192.00     -0.136626E+02  -0.136627E+02  -0.167122E+02   0.154719E-01
     25     7.50   192.00     -0.136624E+02  -0.136625E+02  -0.167121E+02   0.182017E-01
     26     8.50   192.00     -0.136622E+02  -0.136624E+02  -0.167120E+02   0.191236E-01
     27    10.00   192.00     -0.136622E+02  -0.136623E+02  -0.167119E+02   0.198767E-01
     28    13.00   192.00     -0.136622E+02  -0.136622E+02  -0.167117E+02   0.206513E-01
     29    19.00   192.00     -0.136623E+02  -0.136620E+02  -0.167111E+02   0.305664E-01
     30    31.00   192.00     -0.136627E+02  -0.136618E+02  -0.167095E+02   0.484113E-01
     31    55.00   192.00     -0.136624E+02  -0.136602E+02  -0.167037E+02   0.655104E-01
     32   103.00   192.00     -0.136594E+02  -0.136556E+02  -0.166899E+02   0.460181E-01
     33     0.50   288.00     -0.820574E+01  -0.820574E+01  -0.101463E+02   0.126516E-01
     34     1.50   288.00     -0.820582E+01  -0.820577E+01  -0.101463E+02   0.342354E-01
     35     2.50   288.00     -0.820596E+01  -0.820585E+01  -0.101462E+02   0.629786E-01
     36     3.50   288.00     -0.820608E+01  -0.820587E+01  -0.101459E+02   0.928945E-01
     37     4.25   288.00     -0.820624E+01  -0.820596E+01  -0.101458E+02   0.118088E+00
     38     4.75   288.00     -0.820645E+01  -0.820609E+01  -0.101458E+02   0.145716E+00
     39     5.50   288.00     -0.820686E+01  -0.820636E+01  -0.101457E+02   0.174291E+00
     40     6.50   288.00     -0.820715E+01  -0.820656E+01  -0.101456E+02   0.203960E+00
     41     7.50   288.00     -0.820739E+01  -0.820668E+01  -0.101453E+02   0.234807E+00
     42     8.50   288.00     -0.820766E+01  -0.820678E+01  -0.101449E+02   0.261671E+00
     43    10.00   288.00     -0.820812E+01  -0.820695E+01  -0.101443E+02   0.303102E+00
     44    13.00   288.00     -0.820887E+01  -0.820701E+01  -0.101424E+02   0.396120E+00
     45    19.00   288.00     -0.821007E+01  -0.820652E+01  -0.101368E+02   0.583789E+00
     46    31.00   288.00     -0.821248E+01  -0.820415E+01  -0.101201E+02   0.878124E+00
     47    55.00   288.00     -0.821235E+01  -0.819330E+01  -0.100709E+02   0.114956E+01
     48   103.00   288.00     -0.821324E+01  -0.818681E+01  -0.100026E+02   0.647159E+00
     49     0.50   336.00     -0.546285E+01  -0.546283E+01  -0.704251E+01   0.749939E-01
     50     1.50   336.00     -0.546266E+01  -0.546263E+01  -0.704218E+01   0.227725E+00
     51     2.50   336.00     -0.546237E+01  -0.546226E+01  -0.704148E+01   0.378776E+00
     52     3.50   336.00     -0.546216E+01  -0.546189E+01  -0.704056E+01   0.528905E+00
     53     4.25   336.00     -0.546221E+01  -0.546169E+01  -0.703973E+01   0.635224E+00
     54     4.75   336.00     -0.546244E+01  -0.546168E+01  -0.703917E+01   0.711233E+00
     55     5.50   336.00     -0.546298E+01  -0.546178E+01  -0.703826E+01   0.839676E+00
     56     6.50   336.00     -0.546365E+01  -0.546186E+01  -0.703677E+01   0.993012E+00
     57     7.50   336.00     -0.546418E+01  -0.546187E+01  -0.703505E+01   0.114580E+01
     58     8.50   336.00     -0.546485E+01  -0.546195E+01  -0.703324E+01   0.129825E+01
     59    10.00   336.00     -0.546564E+01  -0.546179E+01  -0.702988E+01   0.152507E+01
     60    13.00   336.00     -0.546685E+01  -0.546072E+01  -0.702104E+01   0.198388E+01
     61    19.00   336.00     -0.547045E+01  -0.545798E+01  -0.699744E+01   0.281912E+01
     62    31.00   336.00     -0.547698E+01  -0.544836E+01  -0.693049E+01   0.407031E+01
     63    55.00   336.00     -0.548813E+01  -0.542969E+01  -0.677938E+01   0.489867E+01
     64   103.00   336.00     -0.550630E+01  -0.544380E+01  -0.664243E+01   0.215916E+01
     65     0.50   360.00     -0.408392E+01  -0.408387E+01  -0.570316E+01   0.188140E+00
     66     1.50   360.00     -0.408408E+01  -0.408386E+01  -0.570242E+01   0.559050E+00
     67     2.50   360.00     -0.408424E+01  -0.408368E+01  -0.570084E+01   0.931657E+00
     68     3.50   360.00     -0.408462E+01  -0.408348E+01  -0.569849E+01   0.129319E+01
     69     4.25   360.00     -0.408447E+01  -0.408292E+01  -0.569592E+01   0.155929E+01
     70     4.75   360.00     -0.408425E+01  -0.408252E+01  -0.569420E+01   0.173734E+01
     71     5.50   360.00     -0.408425E+01  -0.408212E+01  -0.569160E+01   0.200547E+01
     72     6.50   360.00     -0.408486E+01  -0.408180E+01  -0.568766E+01   0.236248E+01
     73     7.50   360.00     -0.408609E+01  -0.408161E+01  -0.568283E+01   0.271939E+01
     74     8.50   360.00     -0.408735E+01  -0.408144E+01  -0.567746E+01   0.308679E+01
     75    10.00   360.00     -0.408889E+01  -0.408082E+01  -0.566807E+01   0.362811E+01
     76    13.00   360.00     -0.409201E+01  -0.407899E+01  -0.564534E+01   0.467526E+01
     77    19.00   360.00     -0.410055E+01  -0.407446E+01  -0.558633E+01   0.653674E+01
     78    31.00   360.00     -0.411181E+01  -0.405496E+01  -0.542574E+01   0.919550E+01
     79    55.00   360.00     -0.413692E+01  -0.403856E+01  -0.514671E+01   0.101275E+02
     80   103.00   360.00     -0.415964E+01  -0.407389E+01  -0.496004E+01   0.366145E+01
     81     0.50   372.00     -0.338862E+01  -0.338854E+01  -0.519461E+01   0.292284E+00
     82     1.50   372.00     -0.338870E+01  -0.338842E+01  -0.519330E+01   0.868744E+00
     83     2.50   372.00     -0.338877E+01  -0.338807E+01  -0.519052E+01   0.144641E+01
     84     3.50   372.00     -0.338829E+01  -0.338710E+01  -0.518604E+01   0.200995E+01
     85     4.25   372.00     -0.338805E+01  -0.338637E+01  -0.518199E+01   0.242593E+01
     86     4.75   372.00     -0.338836E+01  -0.338594E+01  -0.517872E+01   0.269707E+01
     87     5.50   372.00     -0.339013E+01  -0.338624E+01  -0.517398E+01   0.312075E+01
     88     6.50   372.00     -0.339176E+01  -0.338606E+01  -0.516606E+01   0.368295E+01
     89     7.50   372.00     -0.339307E+01  -0.338575E+01  -0.515723E+01   0.424793E+01
     90     8.50   372.00     -0.339448E+01  -0.338533E+01  -0.514718E+01   0.480546E+01
     91    10.00   372.00     -0.339717E+01  -0.338496E+01  -0.513057E+01   0.562558E+01
     92    13.00   372.00     -0.340366E+01  -0.338403E+01  -0.509084E+01   0.720408E+01
     93    19.00   372.00     -0.341823E+01  -0.337986E+01  -0.498812E+01   0.100153E+02
     94    31.00   372.00     -0.343484E+01  -0.335467E+01  -0.472228E+01   0.139753E+02
     95    55.00   372.00     -0.347175E+01  -0.334733E+01  -0.433243E+01   0.145021E+02
     96   103.00   372.00     -0.348453E+01  -0.339083E+01  -0.412039E+01   0.462579E+01
     97     0.50   379.00     -0.298900E+01  -0.298889E+01  -0.501396E+01   0.372118E+00
     98     1.50   379.00     -0.298915E+01  -0.298877E+01  -0.501194E+01   0.111617E+01
     99     2.50   379.00     -0.298948E+01  -0.298849E+01  -0.500787E+01   0.185135E+01
    100     3.50   379.00     -0.299056E+01  -0.298843E+01  -0.500185E+01   0.258219E+01
    101     4.25   379.00     -0.299110E+01  -0.298806E+01  -0.499583E+01   0.313394E+01
    102     4.75   379.00     -0.299125E+01  -0.298770E+01  -0.499138E+01   0.349581E+01
    103     5.50   379.00     -0.299218E+01  -0.298743E+01  -0.498381E+01   0.404484E+01
    104     6.50   379.00     -0.299330E+01  -0.298683E+01  -0.497201E+01   0.477118E+01
    105     7.50   379.00     -0.299449E+01  -0.298602E+01  -0.495832E+01   0.548865E+01
    106     8.50   379.00     -0.299612E+01  -0.298536E+01  -0.494314E+01   0.619145E+01
    107    10.00   379.00     -0.299996E+01  -0.298511E+01  -0.491824E+01   0.723809E+01
    108    13.00   379.00     -0.300807E+01  -0.298361E+01  -0.485780E+01   0.925120E+01
    109    19.00   379.00     -0.302445E+01  -0.297663E+01  -0.470347E+01   0.128220E+02
    110    31.00   379.00     -0.303967E+01  -0.294399E+01  -0.433255E+01   0.178352E+02
    111    55.00   379.00     -0.308846E+01  -0.294795E+01  -0.385504E+01   0.178373E+02
    112   103.00   379.00     -0.308895E+01  -0.299356E+01  -0.363244E+01   0.521063E+01
    113     0.50   384.00     -0.270524E+01  -0.270508E+01  -0.496701E+01   0.449251E+00
    114     1.50   384.00     -0.270511E+01  -0.270465E+01  -0.496385E+01   0.133687E+01
    115     2.50   384.00     -0.270566E+01  -0.270451E+01  -0.495833E+01   0.222766E+01
    116     3.50   384.00     -0.270623E+01  -0.270403E+01  -0.494970E+01   0.311034E+01
    117     4.25   384.00     -0.270678E+01  -0.270344E+01  -0.494101E+01   0.376387E+01
    118     4.75   384.00     -0.270707E+01  -0.270298E+01  -0.493445E+01   0.420215E+01
    119     5.50   384.00     -0.270829E+01  -0.270293E+01  -0.492446E+01   0.485458E+01
    120     6.50   384.00     -0.271008E+01  -0.270256E+01  -0.490842E+01   0.571375E+01
    121     7.50   384.00     -0.271107E+01  -0.270151E+01  -0.488963E+01   0.656974E+01
    122     8.50   384.00     -0.271311E+01  -0.270097E+01  -0.486901E+01   0.741216E+01
    123    10.00   384.00     -0.271744E+01  -0.270066E+01  -0.483446E+01   0.865588E+01
    124    13.00   384.00     -0.272757E+01  -0.269936E+01  -0.475149E+01   0.110599E+02
    125    19.00   384.00     -0.274457E+01  -0.268940E+01  -0.454010E+01   0.152817E+02
    126    31.00   384.00     -0.275684E+01  -0.265087E+01  -0.406538E+01   0.211710E+02
    127    55.00   384.00     -0.281792E+01  -0.266634E+01  -0.351283E+01   0.206411E+02
    128   103.00   384.00     -0.280445E+01  -0.270981E+01  -0.328443E+01   0.562361E+01
    129     0.50   387.00     -0.253328E+01  -0.253313E+01  -0.498379E+01   0.496005E+00
    130     1.50   387.00     -0.253358E+01  -0.253323E+01  -0.498083E+01   0.149121E+01
    131     2.50   387.00     -0.253437E+01  -0.253300E+01  -0.497367E+01   0.248036E+01
    132     3.50   387.00     -0.253516E+01  -0.253265E+01  -0.496297E+01   0.346933E+01
    133     4.25   387.00     -0.253560E+01  -0.253205E+01  -0.495252E+01   0.419317E+01
    134     4.75   387.00     -0.253619E+01  -0.253179E+01  -0.494467E+01   0.468050E+01
    135     5.50   387.00     -0.253755E+01  -0.253179E+01  -0.493204E+01   0.539817E+01
    136     6.50   387.00     -0.253946E+01  -0.253152E+01  -0.491244E+01   0.637370E+01
    137     7.50   387.00     -0.254189E+01  -0.253097E+01  -0.488900E+01   0.731104E+01
    138     8.50   387.00     -0.254423E+01  -0.253065E+01  -0.486373E+01   0.824014E+01
    139    10.00   387.00     -0.254938E+01  -0.253112E+01  -0.482222E+01   0.962477E+01
    140    13.00   387.00     -0.256067E+01  -0.252988E+01  -0.471981E+01   0.123051E+02
    141    19.00   387.00     -0.257867E+01  -0.251874E+01  -0.446304E+01   0.169483E+02
    142    31.00   387.00     -0.258689E+01  -0.247581E+01  -0.391007E+01   0.234259E+02
    143    55.00   387.00     -0.265679E+01  -0.249902E+01  -0.330631E+01   0.225083E+02
    144   103.00   387.00     -0.263269E+01  -0.253946E+01  -0.307579E+01   0.585939E+01
    145     0.50   388.50     -0.245078E+01  -0.245052E+01  -0.501262E+01   0.526333E+00
    146     1.50   388.50     -0.245064E+01  -0.245036E+01  -0.500900E+01   0.155970E+01
    147     2.50   388.50     -0.245060E+01  -0.244952E+01  -0.500047E+01   0.261927E+01
    148     3.50   388.50     -0.245287E+01  -0.245014E+01  -0.498929E+01   0.365796E+01
    149     4.25   388.50     -0.245267E+01  -0.244898E+01  -0.497719E+01   0.442080E+01
    150     4.75   388.50     -0.245289E+01  -0.244829E+01  -0.496765E+01   0.493226E+01
    151     5.50   388.50     -0.245395E+01  -0.244784E+01  -0.495285E+01   0.569066E+01
    152     6.50   388.50     -0.245624E+01  -0.244762E+01  -0.493058E+01   0.672756E+01
    153     7.50   388.50     -0.245949E+01  -0.244819E+01  -0.490623E+01   0.770543E+01
    154     8.50   388.50     -0.246148E+01  -0.244738E+01  -0.487749E+01   0.867364E+01
    155    10.00   388.50     -0.246687E+01  -0.244741E+01  -0.482961E+01   0.101362E+02
    156    13.00   388.50     -0.247866E+01  -0.244664E+01  -0.471642E+01   0.129832E+02
    157    19.00   388.50     -0.249694E+01  -0.243435E+01  -0.443110E+01   0.178301E+02
    158    31.00   388.50     -0.250155E+01  -0.238851E+01  -0.383379E+01   0.246278E+02
    159    55.00   388.50     -0.257720E+01  -0.241632E+01  -0.320284E+01   0.234751E+02
    160   103.00   388.50     -0.254659E+01  -0.245433E+01  -0.297161E+01   0.596508E+01
    161     0.50   389.50     -0.239610E+01  -0.239586E+01  -0.504020E+01   0.542511E+00
    162     1.50   389.50     -0.239705E+01  -0.239624E+01  -0.503601E+01   0.161297E+01
    163     2.50   389.50     -0.239749E+01  -0.239627E+01  -0.502752E+01   0.270904E+01
    164     3.50   389.50     -0.239819E+01  -0.239594E+01  -0.501475E+01   0.377974E+01
    165     4.25   389.50     -0.239813E+01  -0.239488E+01  -0.500204E+01   0.458017E+01
    166     4.75   389.50     -0.240005E+01  -0.239517E+01  -0.499282E+01   0.510812E+01
    167     5.50   389.50     -0.240185E+01  -0.239493E+01  -0.497659E+01   0.590683E+01
    168     6.50   389.50     -0.240332E+01  -0.239440E+01  -0.495233E+01   0.697110E+01
    169     7.50   389.50     -0.240481E+01  -0.239371E+01  -0.492475E+01   0.797870E+01
    170     8.50   389.50     -0.240854E+01  -0.239391E+01  -0.489447E+01   0.899654E+01
    171    10.00   389.50     -0.241386E+01  -0.239395E+01  -0.484290E+01   0.105053E+02
    172    13.00   389.50     -0.242519E+01  -0.239247E+01  -0.472034E+01   0.134571E+02
    173    19.00   389.50     -0.244159E+01  -0.237732E+01  -0.441113E+01   0.184532E+02
    174    31.00   389.50     -0.244365E+01  -0.232936E+01  -0.378190E+01   0.254457E+02
    175    55.00   389.50     -0.252327E+01  -0.236044E+01  -0.313246E+01   0.241487E+02
    176   103.00   389.50     -0.248770E+01  -0.239619E+01  -0.290048E+01   0.603008E+01
    177     0.50   390.50     -0.234358E+01  -0.234330E+01  -0.507528E+01   0.569661E+00
    178     1.50   390.50     -0.234362E+01  -0.234301E+01  -0.507018E+01   0.167449E+01
    179     2.50   390.50     -0.234382E+01  -0.234287E+01  -0.506152E+01   0.279991E+01
    180     3.50   390.50     -0.234460E+01  -0.234251E+01  -0.504783E+01   0.393188E+01
    181     4.25   390.50     -0.234553E+01  -0.234196E+01  -0.503406E+01   0.476351E+01
    182     4.75   390.50     -0.234632E+01  -0.234182E+01  -0.502434E+01   0.532941E+01
    183     5.50   390.50     -0.234847E+01  -0.234152E+01  -0.500645E+01   0.614908E+01
    184     6.50   390.50     -0.235046E+01  -0.234128E+01  -0.498023E+01   0.722360E+01
    185     7.50   390.50     -0.235213E+01  -0.234052E+01  -0.494999E+01   0.828053E+01
    186     8.50   390.50     -0.235457E+01  -0.233966E+01  -0.491588E+01   0.934906E+01
    187    10.00   390.50     -0.236005E+01  -0.233933E+01  -0.485917E+01   0.108812E+02
    188    13.00   390.50     -0.237253E+01  -0.233874E+01  -0.472788E+01   0.139356E+02
    189    19.00   390.50     -0.238615E+01  -0.232065E+01  -0.439412E+01   0.191122E+02
    190    31.00   390.50     -0.238707E+01  -0.227149E+01  -0.373140E+01   0.262728E+02
    191    55.00   390.50     -0.246918E+01  -0.230471E+01  -0.306208E+01   0.248575E+02
    192   103.00   390.50     -0.242765E+01  -0.233700E+01  -0.282812E+01   0.610845E+01
    193     0.50   391.50     -0.229219E+01  -0.229192E+01  -0.511799E+01   0.592053E+00
    194     1.50   391.50     -0.229265E+01  -0.229203E+01  -0.511319E+01   0.173605E+01
    195     2.50   391.50     -0.229245E+01  -0.229128E+01  -0.510326E+01   0.289520E+01
    196     3.50   391.50     -0.229268E+01  -0.229042E+01  -0.508855E+01   0.406537E+01
    197     4.25   391.50     -0.229366E+01  -0.228988E+01  -0.507374E+01   0.493327E+01
    198     4.75   391.50     -0.229442E+01  -0.228942E+01  -0.506197E+01   0.552019E+01
    199     5.50   391.50     -0.229516E+01  -0.228852E+01  -0.504258E+01   0.636937E+01
    200     6.50   391.50     -0.229772E+01  -0.228811E+01  -0.501392E+01   0.748301E+01
    201     7.50   391.50     -0.229990E+01  -0.228714E+01  -0.498016E+01   0.857232E+01
    202     8.50   391.50     -0.230229E+01  -0.228682E+01  -0.494401E+01   0.967858E+01
    203    10.00   391.50     -0.230799E+01  -0.228600E+01  -0.488140E+01   0.112742E+02
    204    13.00   391.50     -0.232045E+01  -0.228551E+01  -0.473949E+01   0.144244E+02
    205    19.00   391.50     -0.233073E+01  -0.226393E+01  -0.437919E+01   0.197861E+02
    206    31.00   391.50     -0.233149E+01  -0.221460E+01  -0.368181E+01   0.271139E+02
    207    55.00   391.50     -0.241644E+01  -0.225070E+01  -0.299373E+01   0.255978E+02
    208   103.00   391.50     -0.236821E+01  -0.227855E+01  -0.275673E+01   0.620288E+01
    209     0.50   392.50     -0.223996E+01  -0.223958E+01  -0.516912E+01   0.608364E+00
    210     1.50   392.50     -0.224086E+01  -0.224007E+01  -0.516386E+01   0.180721E+01
    211     2.50   392.50     -0.224105E+01  -0.223926E+01  -0.515224E+01   0.301503E+01
    212     3.50   392.50     -0.224183E+01  -0.223901E+01  -0.513630E+01   0.423012E+01
    213     4.25   392.50     -0.224228E+01  -0.223819E+01  -0.511995E+01   0.514730E+01
    214     4.75   392.50     -0.224239E+01  -0.223730E+01  -0.510674E+01   0.573284E+01
    215     5.50   392.50     -0.224381E+01  -0.223698E+01  -0.508611E+01   0.660401E+01
    216     6.50   392.50     -0.224618E+01  -0.223642E+01  -0.505467E+01   0.777129E+01
    217     7.50   392.50     -0.224889E+01  -0.223541E+01  -0.501797E+01   0.889615E+01
    218     8.50   392.50     -0.225086E+01  -0.223454E+01  -0.497816E+01   0.100417E+02
    219    10.00   392.50     -0.225734E+01  -0.223442E+01  -0.491116E+01   0.116965E+02
    220    13.00   392.50     -0.226788E+01  -0.223210E+01  -0.475494E+01   0.149410E+02
    221    19.00   392.50     -0.227408E+01  -0.220582E+01  -0.436448E+01   0.204744E+02
    222    31.00   392.50     -0.227462E+01  -0.215642E+01  -0.363024E+01   0.279777E+02
    223    55.00   392.50     -0.236284E+01  -0.219610E+01  -0.292447E+01   0.263711E+02
    224   103.00   392.50     -0.230885E+01  -0.222031E+01  -0.268567E+01   0.631147E+01
    225     0.50   393.50     -0.219056E+01  -0.218999E+01  -0.523144E+01   0.637344E+00
    226     1.50   393.50     -0.219137E+01  -0.219047E+01  -0.522513E+01   0.186996E+01
    227     2.50   393.50     -0.219188E+01  -0.218975E+01  -0.521243E+01   0.313110E+01
    228     3.50   393.50     -0.219264E+01  -0.218872E+01  -0.519280E+01   0.437821E+01
    229     4.25   393.50     -0.219177E+01  -0.218720E+01  -0.517424E+01   0.533100E+01
    230     4.75   393.50     -0.219168E+01  -0.218636E+01  -0.516038E+01   0.593225E+01
